title,url,image,price,old_price,discount_amount_uah,rating,reviews_count,availability,badges,brand,discount_percent
Віскі Hankey Bannister Original 3 роки витримки 1 л,https://epicentrk.ua/ua/shop/viski-hankey-bannister-original-1-l.html,https://cdn.27.ua/190/2a/d2/2239186_2.jpeg,549,1067,518,,,В наявності,Чесна Вигода -48%,Hankey Bannister,49
"Віскі Jameson 40% 0,7 л",https://epicentrk.ua/ua/shop/viski-jameson-40-0-7-l.html,https://cdn.27.ua/190/7a/36/3242550_2.jpeg,729,968,239,,,В наявності,Чесна Вигода -24%,Jameson,25
Віскі Jameson 40% 1 л,https://epicentrk.ua/ua/shop/viski-jameson-40-1-l.html,https://cdn.27.ua/190/7a/3a/3242554_2.jpeg,979,1310,331,,,В наявності,Чесна Вигода -25%,Jameson,25
"Віскі Hankey Bannister Original 3 роки витримки 0,7 л",https://epicentrk.ua/ua/shop/viski-hankey-bannister-original-in-a-gift-box-0-7-l.html,https://cdn.27.ua/190/2a/d0/2239184_3.jpeg,399,791,392,,,В наявності,Чесна Вигода -49%,Hankey Bannister,50
"Віскі Ballantine's Finest 40% 0,7 л",https://epicentrk.ua/ua/shop/viski-ballantine-s-finest-40-0-7-l.html,https://cdn.27.ua/190/7a/28/3242536_1.jpeg,599,781,182,,,В наявності,Чесна Вигода -23%,Ballantine's,23
"Віскі Hankey Bannister 5010509001243 0,7 л",https://epicentrk.ua/ua/shop/viski-hankey-bannister-5010509001243-0-7-l.html,https://cdn.27.ua/190/1f/f1/9510897_1.jpeg,339,721,382,,,В наявності,Чесна Вигода -53%,Hankey Bannister,53
"Горілка Хлібний дар Українська Класична 0,5 л",https://epicentrk.ua/ua/shop/horilka-khlibnyi-dar-horilka-ukrainska-klasychna-0-5-l-0-5-l.html,https://cdn.27.ua/190/54/91/9393297_2.jpeg,89,118,29,,,В наявності,Чесна Вигода -24%,Хлібний дар,25
"Віскі Hankey Bannister Original + 2 брендовані склянки в коробці 0,7 л",https://epicentrk.ua/ua/shop/viski-hankey-bannister-original-0-7-l-2-stakana-0-7-l.html,https://cdn.27.ua/190/4e/84/2444932_1.jpeg,499,824,325,,,В наявності,Чесна Вигода -39%,Hankey Bannister,39
Віскі MacArthur's 1 л,https://epicentrk.ua/ua/shop/viski-macarthur-s-blendet-scotch-1-l.html,https://cdn.27.ua/190/4e/80/2444928_1.jpeg,449,761,312,,,В наявності,Чесна Вигода -41%,MacArthur's,41
"Віскі James Wyld Джеймс Вайлд 0,7 л",https://epicentrk.ua/ua/shop/viski-james-wyld-dzheims-vaild-0-7-l.html,https://cdn.27.ua/190/41/c5/9191877_8.jpeg,589,1029,440,,,В наявності,Чесна Вигода -42%,James Wyld,43
"Віскі Jack Daniel's No.7 0,7 л",https://epicentrk.ua/ua/shop/viski-jack-daniel-s-7-0-7-l.html,https://cdn.27.ua/190/1f/ce/2236366_4.jpeg,729,943,214,,,В наявності,Чесна Вигода -22%,Jack Daniel's,23
Віскі Ballantine's Finest 40% 1 л,https://epicentrk.ua/ua/shop/viski-ballantine-s-finest-40-1-l.html,https://cdn.27.ua/190/7a/2a/3242538_1.jpeg,799,874,75,,,В наявності,Чесна Вигода -8%,Ballantine's,9
"Віскі Clan MacGregor бленд 0,7 л",https://epicentrk.ua/ua/shop/viski-clan-macgregor-blend-0-7-l.html,https://cdn.27.ua/190/a8/01/6989825_3.jpeg,390,821,431,,,В наявності,Чесна Вигода -52%,Clan MacGregor,52
"Віскі Three Scotsmen Blended Scotch, купажоване 0,75 л",https://epicentrk.ua/ua/shop/viski-three-scotsmen-blended-scotch-kupazhovane-0-75-l.html,https://cdn.27.ua/190/b2/b3/9548467_1.jpeg,289,750,461,,,В наявності,Чесна Вигода -61%,Інше,61
"Коньяк AZNAURI 3 роки 0,5 л",https://epicentrk.ua/ua/shop/konyak-aznauri-3-goda-0-5-l.html,https://cdn.27.ua/190/de/1c/2809372_1.jpeg,212,218,6,,,В наявності,-2%,AZNAURI,3
Віскі Monkey Shoulder 1 л,https://epicentrk.ua/ua/shop/viski-monkey-shoulder-1-l.html,https://cdn.27.ua/190/7d/f9/8683001_1.jpeg,1810,2569,758,,,В наявності,Чесна Вигода -29%,Monkey Shoulder,30
"Віскі Tullamore Dew Original 0,7 л",https://epicentrk.ua/ua/shop/viski-tullamore-dew-original-0-7-l.html,https://cdn.27.ua/190/17/d0/2234320_2.jpeg,799,1033,234,,,В наявності,Чесна Вигода -22%,Tullamore Dew,23
