title,url,image,price,old_price,discount_amount_uah,rating,reviews_count,availability,badges,brand,discount_percent
"Вино Marlborough Sun Sauvignon Blanc сухе біле 0,75 л",https://epicentrk.ua/ua/shop/vino-saint-clair-sauvignon-blanc-marlborough-sun-sukhoe-beloe-0-75-l.html,https://cdn.27.ua/190/64/cc/3630284_1.jpeg,465,585,120,,,В наявності,Чесна Вигода -20%,Marlborough Sun,21
Вино Kartuli Vazi Алазанська долина червоне напівсолодке 11% (4860001680641) 750 мл,https://epicentrk.ua/ua/shop/vino-kartuli-vazi-alazanskaya-dolina-krasnoe-polusladkoe-11-4860001680641-750-ml.html,https://cdn.27.ua/190/65/2a/3630378_1.jpeg,232,289,57,,,В наявності,Чесна Вигода -19%,Kartuli Vazi,20
"Вино Kingpin червоне сухе Kingpin Tempranillo Syrah 0,75 л",https://epicentrk.ua/ua/shop/vyno-kingpin-chervone-sukhe-kingpin-tempranillo-syrah-750-ml.html,https://cdn.27.ua/190/df/f9/7331833_1.jpeg,338,420,81,,,В наявності,Чесна Вигода -19%,Kingpin,20
Вино Kartuli Vazi Алазанська долина біле напівсолодке 11% (4860001680658) 750 мл,https://epicentrk.ua/ua/shop/vino-kartuli-vazi-alazanskaya-dolina-beloe-polusladkoe-11-4860001680658-750-ml.html,https://cdn.27.ua/190/65/2c/3630380_1.jpeg,199,246,47,,,В наявності,Чесна Вигода -19%,Kartuli Vazi,19
Вино Pelissero Mosto Parzialmente Fermentato біле солодке 5.5% (8023018002370) 750 мл,https://epicentrk.ua/ua/shop/vino-pelissero-mosto-parzialmente-fermentato-beloe-sladkoe-5-5-8023018002370-750-ml.html,https://cdn.27.ua/190/72/44/3633732_1.jpeg,407,436,29,,,В наявності,-6%,Вино,7
"Вино Listillo Темпранільйо червоне сухе 13% 2x0,75 л (спайка) 1,5 л",https://epicentrk.ua/ua/shop/vyno-listillo-tempranilio-chervone-sukhe-13-2x0-75-l-spaika-1-5-l.html,https://cdn.27.ua/190/db/df/7330783_1.jpeg,259,499,240,,,В наявності,Чесна Вигода -48%,Вино,48
"Вино Кагор Український Таїровський Преміум 0,75 л",https://epicentrk.ua/ua/shop/vyno-kahor-ukrainskyi-tairovskyi-premium-0-75-l.html,https://cdn.27.ua/190/15/cf/8525263_1.jpeg,129,143,14,,,В наявності,Чесна Вигода -9%,Інше,10
Вино Cappo Moscato J.Garcia Carrion біле сухе 12.5% ​​(8410261215013) 750 мл,https://epicentrk.ua/ua/shop/vino-cappo-moscato-j-garcia-carrion-beloe-sukhoe-12-5-8410261215013-750-ml.html,https://cdn.27.ua/190/73/74/3634036_1.jpeg,169,199,30,,,В наявності,-15%,Cappo,15
"Вино Sogrape Vinhos Mateus Rose Sogrape Vinhos Рожеве Напівсухе 11% (5601012011500) 0,75 л",https://epicentrk.ua/ua/shop/vino-mateus-rose-sogrape-vinhos-rozovoe-polusukhoe-11-5601012011500-750-ml.html,https://cdn.27.ua/190/64/c6/3630278_1.jpeg,288,311,23,,,В наявності,-7%,Mateus,7
"Вино Callia червоне сухе Malbec 0,75л+0,75л=1,5л (Купуй 2 товари за ціною 1)",https://epicentrk.ua/ua/shop/vyno-callia-chervone-sukhe-malbec-x2-spaika-1-5-l.html,https://cdn.27.ua/190/12/bd/8917693_2.jpeg,389,770,380,,,В наявності,Чесна Вигода -49%,Callia,49
"Вино Garcia Carrion Cappo Shiraz 0,75 л",https://epicentrk.ua/ua/shop/vino-garcia-carrion-cappo-shiraz-0-75-l.html,https://cdn.27.ua/190/73/76/3634038_1.jpeg,169,199,30,,,В наявності,-15%,Cappo,15
"Вино Charton Rouge Moelleux червоне напівсолодке (3500610033438) 0,75 л",https://epicentrk.ua/ua/shop/vino-charton-rouge-moelleux-krasnoe-polusladkoe-3500610033438-0-75-l.html,https://cdn.27.ua/190/d5/70/2938224_1.jpeg,209,255,46,,,В наявності,Чесна Вигода -18%,Charton,18
"Вино Listillo Vino Semi-Dulce Tinto червоне напівсолодке 0,75 л",https://epicentrk.ua/ua/shop/vyno-listillo-chervone-sukhe-0-75-l.html,https://cdn.27.ua/190/ec/87/7072903_1.jpeg,169,239,70,,,В наявності,Чесна Вигода -29%,Вино,29
"Вино Solo Corso біле напівсолодке 0,75 л",https://epicentrk.ua/ua/shop/vino-solo-corso-beloe-polusladkoe-0-75-l.html,https://cdn.27.ua/190/65/54/3630420_1.jpeg,161,185,24,,,В наявності,Чесна Вигода -13%,Solo Corso,13
Вино Kartuli Vazi Піросмані червоне напівсухе 11% (4860001680634) 750 мл,https://epicentrk.ua/ua/shop/vino-kartuli-vazi-pirosmani-krasnoe-polusukhoe-11-4860001680634-750-ml.html,https://cdn.27.ua/190/65/30/3630384_1.jpeg,239,289,50,,,В наявності,-17%,Kartuli Vazi,17
"Вино Gatao Vinho Verde DOC біле сухе 0,75 л",https://epicentrk.ua/ua/shop/vyno-gatao-vinho-verde-doc-bile-sukhe-0-75-l.html,https://cdn.27.ua/190/8e/6d/7179885_1.jpeg,219,299,80,,,В наявності,Чесна Вигода -26%,Gatao,27
"Вино Colterenzio Pfefferer Classic Line сухе біле 0,75 л",https://epicentrk.ua/ua/shop/vino-colterenzio-pfefferer-classic-line-sukhoe-beloe-0-75-l.html,https://cdn.27.ua/190/64/ae/3630254_1.jpeg,650,706,55,,,В наявності,-7%,Вино,8
"Вино Портвейн Borges Tawny Porto червоний солодкий 0,75 л",https://epicentrk.ua/ua/shop/vyno-portvein-borges-tawny-porto-chervonyi-solodkyi-0-75-l.html,https://cdn.27.ua/190/ec/b7/7072951_1.jpeg,299,449,150,,,В наявності,Чесна Вигода -33%,Borges,33
"Вино Solo Corso червоне напівсолодке 0,75 л",https://epicentrk.ua/ua/shop/vino-solo-corso-krasnoe-polusladkoe-0-75-l.html,https://cdn.27.ua/190/65/56/3630422_1.jpeg,149,185,36,,,В наявності,Чесна Вигода -19%,Solo Corso,19
