title,url,image,price,old_price,discount_amount_uah,rating,reviews_count,availability,badges,brand,discount_percent
Флюїд для обличчя день-ніч Nivea Luminous 630 «Потрійний захист» SPF 50 40 мл,https://epicentrk.ua/ua/shop/syvorotka-den-noch-nivea-luminous-630-troynaya-zaschita-spf-50-40-ml.html,https://cdn.27.ua/190/ae/33/6532659_1.jpeg,409,630,220,,,В наявності,Акція -34%,Флюїд,35
Флюїд Nivea CELLULAR EXPERT FILLER SPF 50+ 30 мл,https://epicentrk.ua/ua/shop/fliuid-nivea-cellular-expert-filler-spf-50-30-ml.html,https://cdn.27.ua/190/86/cb/9471691_1.jpeg,422,649,227,,,В наявності,Акція -35%,NIVEA,35
Флюїд для обличчя денний L'Oreal Paris Геній зволоження для сухої та чутливої шкіри з алое 70 мл,https://epicentrk.ua/ua/shop/gel-flyuid-dlya-litsa-dnevnoy-l-oreal-paris-geniy-uvlazhneniya-dlya-sukhoy-i-chuvstvitelnoy-kozhi-s-alo-70-ml.html,https://cdn.27.ua/190/23/c2/598978_3.jpeg,400,572,171,,,В наявності,-30%,Флюїд,30
Флюїд для обличчя BABE Laboratorios зволожуючий для жирної та проблемної шкіри 50 мл,https://epicentrk.ua/ua/shop/fliuid-dlia-oblychchia-babe-laboratorios-zvolozhuiuchyi-dlia-zhyrnoi-ta-problemnoi-shkiry-50-ml.html,https://cdn.27.ua/190/bf/e5/9289701_1.jpeg,649,,,,,В наявності,1+1=3,BABE Laboratorios,
Флюїд денний Nivea тонуючий LUMINOUS630 Подвійна корекція SPF 20 40 мл,https://epicentrk.ua/ua/shop/fliuid-dennyi-nivea-tonuiuchyi-luminous630-podviina-korektsiia-spf-20-40-ml.html,https://cdn.27.ua/190/c5/2b/7390507_1.jpeg,390,600,210,,,В наявності,Акція -35%,Флюїд,35
Тональний флюїд Caudalie Vinocrush № 2 30 мл,https://epicentrk.ua/ua/shop/tonalnyi-fliuid-caudalie-vinocrush-2-30-ml.html,https://cdn.27.ua/190/8c/a9/7900329_3.jpeg,1659,,,,,В наявності,1+1=3,Caudalie,
Флюїд для обличчя нічний Biotrade PURE SKIN з гіалуроновою кислотою та пептидами 50 мл,https://epicentrk.ua/ua/shop/fliuid-dlia-oblychchia-nichnyi-biotrade-pure-skin-z-hialuronovoiu-kyslotoiu-ta-peptydamy-50-ml.html,https://cdn.27.ua/190/c2/23/6930979_2.jpeg,1250,,,,,В наявності,1+1=3,Флюїд,
Флюїд для обличчя Nivea тонувальний LUMINOUS630® 3 в 1 світлий SPF 30 40 мл,https://epicentrk.ua/ua/shop/fliuid-dlia-oblychchia-nivea-tonuvalnyi-luminous630-3-v-1-svitlyi-spf-30-40-ml.html,https://cdn.27.ua/190/5b/87/9395079_1.jpeg,450,693,242,,,В наявності,Акція -34%,NIVEA,35
Флюїд для обличчя Caudalie Vinopure Матуючий «Досконала шкіра» 60 мл,https://epicentrk.ua/ua/shop/fliuid-dlia-oblychchia-caudalie-vinopure-matuiuchyi-doskonala-shkira-60-ml.html,https://cdn.27.ua/190/a6/76/9741942_7.jpeg,1189,,,,,В наявності,1+1=3,Caudalie,
Флюїд для обличчя денний L'Oreal Paris Геній зволоження Зволожувальний з алое 70 мл,https://epicentrk.ua/ua/shop/gel-flyuid-dlya-litsa-dnevnoy-l-oreal-paris-geniy-uvlazhneniya-uvlazhnyayuschiy-s-aloe-70-ml.html,https://cdn.27.ua/190/23/b4/598964_4.jpeg,400,572,171,,,В наявності,-30%,Флюїд,30
