title,url,image,price,old_price,discount_amount_uah,rating,reviews_count,availability,badges,brand,discount_percent
Скраб Чистая Линия Малина і журавлина 50 мл,https://epicentrk.ua/ua/shop/skrab-chistaya-liniya-malina-i-brusnika-80-ml.html,https://cdn.27.ua/190/9b/4c/1219404_3.jpeg,74,,,,,В наявності,,Чистая Линия,
Скраб Clean & Clear від чорних точок 150 мл,https://epicentrk.ua/ua/shop/skrab-dlya-litsa-clean-clear-clean-clear-blackhead-clearing-daily-scrub-150ml.html,https://cdn.27.ua/190/2b/d3/338899_3.jpeg,156,223,67,,,В наявності,-30%,Clean & Clear,30
Скраб Mayur соляний Апельсин та вербена 250 мл,https://epicentrk.ua/ua/shop/skrab-mayur-solyanoy-apelsin-i-verbena-250-ml.html,https://cdn.27.ua/190/78/31/620593_5.jpeg,93,144,50,,,В наявності,Акція -35%,Mayur,35
Пудра для обличчя Babor Enzyme Cleanser Vitamin C 15 г (03442),https://epicentrk.ua/ua/shop/mplc-pudra-dla-oblicca-babor-enzyme-cleanser-vitamin-c-15-g-03442-1ef4fe37-549e-642e-ab1d-f10dab25c5cc.html,https://cdn.27.ua/sc--media--prod/default/94/c7/88/94c78894-a193-4572-a59d-7b185fb1768e,670,780,110,,,В наявності,-14%,Babor,14
Скраб для обличчя Himalaya Herbals з німом 75 мл,https://epicentrk.ua/ua/shop/maska-dlia-oblychchia-himalaya-herbals-z-nimom-i-abrykosom-75-ml.html,https://cdn.27.ua/190/7d/67/6978919_2.jpeg,48,96,48,,,В наявності,Акція -50%,Himalaya Herbals,50
Скраб для обличчя Mayur Манговий десерт 50 мл,https://epicentrk.ua/ua/shop/skrab-dlia-oblychchia-mayur-manhovyi-desert-50-ml.html,https://cdn.27.ua/190/b2/71/7451249_1.jpeg,83,128,45,,,В наявності,Акція -35%,Інше,35
Скраб Mayur Малинове праліне 50 мл,https://epicentrk.ua/ua/shop/skrab-mayur-malynove-praline-50-ml.html,https://cdn.27.ua/190/b2/73/7451251_1.jpeg,90,123,33,,,В наявності,-27%,Mayur,27
Пілінг Sane з мигдальною кислотою 30 мл,https://epicentrk.ua/ua/shop/pilinh-sane-z-myhdalnoiu-kyslotoiu-30-ml.html,https://cdn.27.ua/190/24/05/6956037_1.jpeg,156,209,52,,,В наявності,Акція -24%,Sane,25
Скраб Flora Secret Антицелюліт 430 г,https://epicentrk.ua/ua/shop/skrab-flora-secret-antitsellyulit-430-g.html,https://cdn.27.ua/190/29/92/4073874_1.jpeg,289,,,,,В наявності,Акція ,Flora Secret,
Пілінг Sane з екстрактом алое + AHA + BHA 10% 30 мл,https://epicentrk.ua/ua/shop/pilinh-sane-z-ekstraktom-aloe-aha-bha-10-30-ml.html,https://cdn.27.ua/190/24/3d/6956093_1.jpeg,134,179,44,,,В наявності,Акція -24%,Sane,25
"Пілінг Джесснера Home-Peel pH 3,5 10 мл",https://epicentrk.ua/ua/shop/mplc-piling-dzessnera-home-peel-ph-3-5-10-ml-1efc2b31-0b22-6146-b9a3-971f75fb7800.html,https://cdn.27.ua/sc--media--prod/default/29/db/99/29db99bf-e02e-46d0-b043-17bbefa181ec.jpg,695,820,125,,,В наявності,-15%,Home-Peel,15
Пілінг Beautyderm Brightening 75 мл,https://epicentrk.ua/ua/shop/pilinh-beautyderm-brightening-75-ml.html,https://cdn.27.ua/190/39/a3/7092643_2.jpeg,59,99,39,,,В наявності,Акція -40%,Пілінг,40
"Пілінг ретиноловий Home-Peel 5%, 10 мл",https://epicentrk.ua/ua/shop/mplc-piling-retinolovij-home-peel-5-10-ml-1efc2b31-0ad4-6ce8-b603-971f75fb7800.html,https://cdn.27.ua/sc--media--prod/default/5f/6e/23/5f6e23b1-2ced-451c-9286-e5a769cf3ffd.jpg,690,820,130,,,В наявності,-15%,Home-Peel,16
Пілінг Lirene Make Me Clean крупнозернистий з кокосовою стружкою для жирної та комбінованої шкіри 75 мл,https://epicentrk.ua/ua/shop/piling-lirene-make-me-clean-krupnozernistyy-s-kokosovoy-struzhkoy-dlya-zhirnykh-i-kombinirovannoy-kozhi-75-ml.html,https://cdn.27.ua/190/1b/8c/3152780_1.jpeg,101,144,43,,,В наявності,Акція -30%,Lirene,30
Пілінг Sane з гліколевою та молочною кислотою 5% 30 мл,https://epicentrk.ua/ua/shop/pilinh-sane-z-hlikolevoiu-ta-molochnoiu-kyslotoiu-5-30-ml.html,https://cdn.27.ua/190/24/3b/6956091_1.jpeg,134,179,44,,,В наявності,Акція -24%,Sane,25
Скраб Nivea Рисовий очищення і звуження пор 75 мл,https://epicentrk.ua/ua/shop/skrab-nivea-risovyy-ochischenie-i-suzhenie-por-75-ml.html,https://cdn.27.ua/190/c9/b9/1296825_16.jpeg,102,137,34,,,В наявності,Акція -25%,NIVEA,26
Пілінг L'Oreal Paris Bright Reveal проти пігментних плям 25 мл,https://epicentrk.ua/ua/shop/pilinh-loreal-paris-bright-reveal-proty-pihmentnykh-pliam-25-ml.html,https://cdn.27.ua/190/37/47/8664903_1.jpeg,708,944,236,,,В наявності,Акція -24%,L'Oreal Paris,25
Пілінг L'Oreal Paris Revitalift для очищення та розгладжування шкіри обличчя 150 мл,https://epicentrk.ua/ua/shop/pilinh-loreal-paris-revitalift-dlia-ochyshchennia-ta-rozghladzhuvannia-shkiry-oblychchia-150-ml.html,https://cdn.27.ua/190/87/41/6522689_3.jpeg,267,356,89,,,В наявності,Акція -24%,L'Oreal Paris,25
Скраб для губ Mayur Манговий десерт 15 мл,https://epicentrk.ua/ua/shop/skrab-dlia-hub-mayur-manhovyi-desert-15-ml.html,https://cdn.27.ua/190/b2/75/7451253_1.jpeg,57,89,31,,,В наявності,-35%,Mayur,36
Пілінг Sane з комплексом фруктових кислот 7% 30 мл,https://epicentrk.ua/ua/shop/pilinh-sane-z-kompleksom-fruktovykh-kyslot-7-30-ml.html,https://cdn.27.ua/190/24/33/6956083_1.jpeg,134,179,44,,,В наявності,Акція -24%,Sane,25
Гомаж для обличчя Beauty Derm Matcha 75 мл,https://epicentrk.ua/ua/shop/gommazh-dlya-litsa-beauty-derm-matcha-75-ml.html,https://cdn.27.ua/190/f4/cd/6550733_1.jpeg,62,89,26,,,В наявності,-30%,Гомаж,30
Пілінг Nacomi Next lvl AHA мигдальна кислота 30% 30 мл,https://epicentrk.ua/ua/shop/pilinh-nacomi-next-lvl-aha-myhdalna-kyslota-30-30-ml.html,https://cdn.27.ua/190/bc/71/9026673_1.jpeg,465,,,,,В наявності,1+1=3,Nacomi,
Диски очищувальні Nip+Fab з гліколевою кислотою Extreme 80 мл,https://epicentrk.ua/ua/shop/dysky-ochyshchuvalni-nip-fab-z-hlikolevoiu-kyslotoiu-extreme-80-ml.html,https://cdn.27.ua/190/6c/15/6974485_1.jpeg,1230,,,,,В наявності,1+1=3,Nip+Fab,
Пілінг Nacomi AHA шикімова кислота 5% проти висипів та вугрів Next lvl 30 мл,https://epicentrk.ua/ua/shop/pilinh-nacomi-aha-shykimova-kyslota-5-proty-vysypiv-ta-vuhriv-next-lvl-30-ml.html,https://cdn.27.ua/190/bc/73/9026675_1.jpeg,420,,,,,В наявності,1+1=3,Nacomi,
Пілінг L'Oreal Paris Revitalift для всіх типів шкіри обличчя 180 мл,https://epicentrk.ua/ua/shop/piling-l-oreal-paris-revitalift-dlya-vsekh-tipov-kozhi-litsa-180-ml.html,https://cdn.27.ua/190/87/45/6522693_3.jpeg,460,614,153,,,В наявності,-24%,L'Oreal Paris,25
Скраб для обличчя Beautyderm з абрикосовою кісточкою 75 мл,https://epicentrk.ua/ua/shop/skrab-beautyderm-s-abrikosovoy-kostochkoy-75-ml.html,https://cdn.27.ua/190/f4/bd/6550717_3.jpeg,62,89,26,,,В наявності,-30%,Скраб,30
Скраб для губ Mayur Вишневий конфітюр 15 мл,https://epicentrk.ua/ua/shop/skrab-dlia-hub-mayur-vyshnevyi-konfitiur-15-ml.html,https://cdn.27.ua/190/b2/7d/7451261_1.jpeg,57,89,31,,,В наявності,-35%,Mayur,36
Пудра ензимна Medi Peel Micro Tea Powder Cleanser для проблемної шкіри 70 г (ALL0105),https://epicentrk.ua/ua/shop/mplc-pudra-enzimna-medi-peel-micro-tea-powder-cleanser-dla-problemnoi-skiri-70-g-all0105-1f08a64f-b4f3-6580-8cc7-296c44274da0.html,https://cdn.27.ua/sc--media--prod/default/df/27/3a/df273ae2-f88c-47d6-a7d0-ade0c18e742d.jpg,585,,,,,В наявності,,MEDI-PEEL,
Пластир від прищів Hero Cosmetics Mighty Patch Invisible+ 39 шт.,https://epicentrk.ua/ua/shop/mplc-plastir-vid-prisiv-hero-cosmetics-mighty-patch-invisible-39-st-1f086859-fd1a-68ce-8ea4-b9e72596a709.html,https://cdn.27.ua/sc--media--prod/default/4d/78/bd/4d78bd5b-07d3-4b2f-986f-eb68594cfe01.png,549,,,,,В наявності,,Hero,
