title,url,image,price,old_price,discount_amount_uah,rating,reviews_count,availability,badges,brand,discount_percent
Спрей Cantabria Labs три-актив для шкіри з акне 100 мл 1,https://epicentrk.ua/ua/shop/sprey-cantabria-labs-tri-aktiv-dlya-kozhi-s-akne-100-ml-1.html,https://cdn.27.ua/190/a9/36/4041014_2.jpeg,726,,,,,В наявності,1+1=3,Cantabria Labs,
Вода зволожуюча LUMENE LAHDE PURE ARCTIC HYDRATION SPRING WATER для обличчя спрей 50 мл (6412600806700),https://epicentrk.ua/ua/shop/mplc-voda-zvolozuuca-lumene-lahde-pure-arctic-hydration-spring-water-dla-oblicca-sprej-50-ml-6412600806700-1f0b32ab-dfac-6e94-953c-a155889ad4df.html,https://cdn.27.ua/sc--media--prod/default/e8/69/4a/e8694a8b-9ca0-4ca6-a39d-f0bf057560c1.jpg,359,479,120,,,В наявності,-25%,Lumene,25
Спрей для фіксації макіяжу DEBORAH SKIN BOOSTER 75 мл,https://epicentrk.ua/ua/shop/sprei-dlia-fiksatsii-makiiazhu-deborah-skin-booster-75-ml.html,https://cdn.27.ua/190/14/d9/9508057_1.jpeg,467,668,200,,,В наявності,Акція -30%,DEBORAH,30
Еліксир-вода Caudalie Beauty Elixir for All Skin Types 30 мл,https://epicentrk.ua/ua/shop/eliksir-voda-caudalie-beauty-elixir-for-all-skin-types-30-ml.html,https://cdn.27.ua/190/ab/df/6532063_11.jpeg,799,,,,,В наявності,1+1=3,Еліксир-вода,
Вода косметична Caudalie зволожуюча виноградна для обличчя 75 мл,https://epicentrk.ua/ua/shop/voda-kosmetychna-caudalie-zvolozhuiucha-vynohradna-dlia-oblychchia-75-ml.html,https://cdn.27.ua/190/f4/d7/9303255_1.jpeg,445,,,,,В наявності,1+1=3,Вода,
Еліксир-вода Caudalie Beauty Elixir for All Skin Types 100 мл,https://epicentrk.ua/ua/shop/eliksir-voda-caudalie-beauty-elixir-for-all-skin-types-100-ml.html,https://cdn.27.ua/190/ab/e1/6532065_22.jpeg,1899,,,,,В наявності,1+1=3,Еліксир-вода,
Вода термальна La Roche-Posay Thermal Spring Water 150 мл (1896032933),https://epicentrk.ua/ua/shop/mplc-voda-termal-na-la-roche-posay-thermal-spring-water-150-ml-1896032933-1f0b694a-4b09-6ce4-afcb-612fcf5bb169.html,https://cdn.27.ua/sc--media--prod/default/9a/2c/83/9a2c83b4-de01-4f4b-ae59-952c6f75e4b5.jpg,392,,,,,В наявності,,La Roche-Posay,
Набір термальної води Віші Vichy 300/50 мл (1883409079),https://epicentrk.ua/ua/shop/mplc-nabir-termal-noi-vodi-visi-vichy-300-50-ml-1883409079-1f0b694a-5b6a-6a84-bc4b-612fcf5bb169.html,https://cdn.27.ua/sc--media--prod/default/60/14/2f/60142f2f-1c72-4918-907e-f642175b3cf6.jpg,748,832,84,,,В наявності,-10%,Vichy,10
Вода термальна Vichy Thermal Water 50 мл (2556185878),https://epicentrk.ua/ua/shop/mplc-voda-termal-na-vichy-thermal-water-50-ml-2556185878-1f0b6944-86de-67a2-a251-fbe420ad636b.html,https://cdn.27.ua/sc--media--prod/default/c1/c2/4e/c1c24e50-11e1-41d8-aa7b-47b8953e28f9.jpg,210,246,36,,,В наявності,-14%,Vichy,15
Спрей матувальний для зменшення жирного блиску Vichy Normaderm Phytosolution з тривалим ефектом (1453120019),https://epicentrk.ua/ua/shop/mplc-sprej-matuval-nij-dla-zmensenna-zirnogo-blisku-vichy-normaderm-phytosolution-z-trivalim-efektom-1453120019-1f0a481b-16da-61c2-994f-e31bab7c8e6c.html,https://cdn.27.ua/sc--media--prod/default/e1/39/35/e1393538-3397-47aa-babf-972cbc1f78f9.jpg,660,,,,,В наявності,,Vichy,
Вода термальна Vichy Mineralizing Thermal Water високої мінералізації 300 мл (1896034260),https://epicentrk.ua/ua/shop/mplc-voda-termal-na-vichy-mineralizing-thermal-water-visokoi-mineralizacii-300-ml-1896034260-1f0a480a-79cf-6a2c-9b82-915ec601b8ed.html,https://cdn.27.ua/sc--media--prod/default/58/ad/66/58ad6620-bf02-4baf-bbc4-4295499140d7.jpg,499,632,133,,,В наявності,-21%,Vichy,21
Набір термальної води Vichy 300/50 мл (2069150159),https://epicentrk.ua/ua/shop/mplc-nabir-termal-noi-vodi-vichy-300-50-ml-2069150159-1f0a481b-0ca8-6c4e-bfc7-e31bab7c8e6c.html,https://cdn.27.ua/sc--media--prod/default/60/14/2f/60142f2f-1c72-4918-907e-f642175b3cf6.jpg,749,842,93,,,В наявності,-11%,Vichy,11
