title,url,image,price,old_price,discount_amount_uah,rating,reviews_count,availability,badges,brand,discount_percent
Вологі серветки Novita для інтимної гігієни Professional 15 шт./уп.,https://epicentrk.ua/ua/shop/vlazhnye-salfetki-novita-dlya-intimnoy-gigieny-professional-15-sht-up.html,https://cdn.27.ua/190/8d/6b/6458731_1.jpeg,50,63,12,,,В наявності,Чесна Вигода -20%,Novita,21
Демакіяж для очей Nivea Подвійний ефект 125 мл,https://epicentrk.ua/ua/shop/sredstvo-dlya-snyatiya-makiyazha-s-glaz-nivea-dvoynoy-effekt.html,https://cdn.27.ua/190/f4/16/128022_12.jpeg,174,232,58,,,В наявності,Чесна Вигода -24%,NIVEA,25
"Міцелярна вода Garnier Skin Natural для обличчя, очей та губ 400 мл 1 шт./уп.",https://epicentrk.ua/ua/shop/mitsellyarnaya-voda-dlya-ochistki-kozhi.html,https://cdn.27.ua/190/a5/3b/173371_18.jpeg,196,,,,,В наявності,,Garnier,
"Міцелярна вода Family Doctor для жирної, чутливої шкіри 500 мл",https://epicentrk.ua/ua/shop/mitsellyarnaya-voda-family-doctor-dlya-zhirnoy-chuvstvitelnoy-kozhi-500-ml.html,https://cdn.27.ua/190/2c/76/339062_4.jpeg,72,104,31,,,В наявності,-30%,Family Doctor,31
Міцелярна вода Garnier Skin Naturals 100 мл,https://epicentrk.ua/ua/shop/mitsellyarnaya-voda-garnier-skin-naturals-125-ml.html,https://cdn.27.ua/190/55/c9/415177_7.jpeg,110,,,,,В наявності,,Garnier,
Міцелярна вода Garnier Skin Naturals 700 мл,https://epicentrk.ua/ua/shop/mitsellyarnaya-voda-l-oreal-skin-naturals-700-ml.html,https://cdn.27.ua/190/ef/fc/454652_4.jpeg,325,,,,,В наявності,,Garnier,
Демакіяж Зеленая аптека Оливкова олія і квіти лотоса 125 мл,https://epicentrk.ua/ua/shop/demakiyazh-zelenaya-apteka-olivkovoe-maslo-i-tsvety-lotosa-125-ml.html,https://cdn.27.ua/190/17/c3/268227_1.jpeg,80,,,,,В наявності,,Зеленая аптека,
Міцелярна вода Nivea Відновлювальна 400 мл,https://epicentrk.ua/ua/shop/mitseliarna-voda-nivea-vidnovliuvalna-400-ml.html,https://cdn.27.ua/190/48/c9/8734921_1.jpeg,173,231,57,,,В наявності,Акція -24%,NIVEA,25
Міцелярна вода L'Oreal Paris Гіалурон експерт 200 мл,https://epicentrk.ua/ua/shop/mitsellyarnaya-voda-l-oreal-paris-gialuron-ekspert-200-ml.html,https://cdn.27.ua/190/4a/80/2968192_3.jpeg,181,241,60,,,В наявності,Акція -24%,L'Oreal Paris,25
Вологі серветки Novita Make up Delicate 15 шт./уп.,https://epicentrk.ua/ua/shop/vlazhnye-salfetki-novita-make-up-delicate-15-sht.html,https://cdn.27.ua/190/ef/de/454622_3.jpeg,37,46,9,,,В наявності,Чесна Вигода -20%,Novita,20
Міцелярна вода Nivea MicellAIR Дихання шкіри для сухої і чутливої шкіри 400 мл,https://epicentrk.ua/ua/shop/mitsellyarnaya-voda-nivea-micellair-dykhanie-kozhi-dlya-sukhoy-i-chuvstvitelnoy-kozhi-400-ml.html,https://cdn.27.ua/190/b1/83/897411_5.jpeg,110,,,,,В наявності,Чесна Вигода ,NIVEA,
Міцелярна вода Ziaja для всіх типів шкіри 390 мл,https://epicentrk.ua/ua/shop/mitsellyarnaya-voda-ziaja-dlya-vsekh-tipov-kozhi-390-ml.html,https://cdn.27.ua/190/0f/1e/3673886_2.jpeg,185,,,,,В наявності,,Ziaja,
Міцелярна вода Sane для чутливої шкіри з пантенолом 250 мл,https://epicentrk.ua/ua/shop/mitseliarna-voda-sane-dlia-chutlyvoi-shkiry-z-pantenolom-250-ml.html,https://cdn.27.ua/190/24/41/6956097_2.jpeg,134,179,44,,,В наявності,Акція -24%,Sane,25
