title,url,image,price,old_price,discount_amount_uah,rating,reviews_count,availability,badges,brand,discount_percent
"Кондиціонер-ополіскувач Tesori d’Oriente Талассо Терапія 0,76 л",https://epicentrk.ua/ua/shop/kondytsioner-dlia-bilyzny-tesori-d-oriente-talasso-terapiia-0-76-l.html,https://cdn.27.ua/190/c5/0b/6997259_1.jpeg,139,199,60,,,В наявності,Чесна Вигода -30%,Tesori d’Oriente,30
"Кондиціонер-ополіскувач Tesori d’Oriente Візантія чорна троянда та лабданум 0,76 л",https://epicentrk.ua/ua/shop/kondytsioner-dlia-bilyzny-tesori-d-oriente-vizantiia-chorna-troianda-ta-labdanum-0-76-l.html,https://cdn.27.ua/190/c5/11/6997265_1.jpeg,139,199,60,,,В наявності,Чесна Вигода -30%,Tesori d’Oriente,30
"Кондиціонер-ополіскувач Tesori d’Oriente Хаммам олія аргани та апельсиновий цвіт 0,76 л",https://epicentrk.ua/ua/shop/kondytsioner-dlia-bilyzny-tesori-d-oriente-khammam-oliia-arhany-ta-apelsynovyi-tsvit-0-76-l.html,https://cdn.27.ua/190/c5/15/6997269_1.jpeg,139,199,60,,,В наявності,Чесна Вигода -30%,Tesori d’Oriente,30
"Кондиціонер-ополіскувач Tesori d’Oriente Білий Мускус (38) 0,75 л",https://epicentrk.ua/ua/shop/kondytsioner-dlia-bilyzny-tesori-d-oriente-bilyi-muskus-38-0-75-l.html,https://cdn.27.ua/190/c5/19/6997273_1.jpeg,139,199,60,,,В наявності,Чесна Вигода -30%,Tesori d’Oriente,30
"Кондиціонер-ополіскувач Tesori d’Oriente Перська Мрія 0,76 л",https://epicentrk.ua/ua/shop/kondytsioner-dlia-bilyzny-tesori-d-oriente-perska-mriia-0-76-l.html,https://cdn.27.ua/190/c5/13/6997267_1.jpeg,139,199,60,,,В наявності,Чесна Вигода -30%,Tesori d’Oriente,30
"Кондиціонер-ополіскувач Tesori d’Oriente Аюрведа олія амли та пачулі 0,76 л",https://epicentrk.ua/ua/shop/kondytsioner-dlia-bilyzny-tesori-d-oriente-aiurveda-oliia-amly-ta-pachuli-0-76-l.html,https://cdn.27.ua/190/c5/0f/6997263_1.jpeg,139,199,60,,,В наявності,Чесна Вигода -30%,Tesori d’Oriente,30
"Кондиціонер для білизни Coccolino Blue Splash 1,7 л",https://epicentrk.ua/ua/shop/kondytsioner-dlia-bilyzny-coccolino-blue-splash-1-7-l.html,https://cdn.27.ua/190/72/a9/9269929_3.jpeg,179,278,99,,,В наявності,Чесна Вигода -35%,Кондиціонер,36
"Кондиціонер-ополіскувач Silan Небесна Свіжість 2,86 л",https://epicentrk.ua/ua/shop/kondytsioner-dlia-bilyzny-silan-nebesna-svizhist-2-86-l.html,https://cdn.27.ua/190/e0/e5/7069925_1.jpeg,299,434,135,,,В наявності,Чесна Вигода -31%,Silan,31
"Кондиціонер-ополіскувач Silan Aromatherapy Fascinating Jungle 2,772 л",https://epicentrk.ua/ua/shop/kondytsioner-dlia-bilyzny-silan-aromatherapy-fascinating-jungle-2-772-l.html,https://cdn.27.ua/190/e0/dd/7069917_5.jpeg,299,434,135,,,В наявності,Чесна Вигода -31%,Silan,31
Ополіскувач для тканин ORIGAMI Тропічна магнолія 4 л,https://epicentrk.ua/ua/shop/konditsioner-dlya-belya-origami-tropicheskaya-magnoliya-4-l.html,https://cdn.27.ua/190/f7/e1/522209_2.jpeg,129,159,30,,,В наявності,Чесна Вигода -18%,ORIGAMI,19
"Кондиціонер-ополіскувач Silan Sensitive & Baby 2,86 л",https://epicentrk.ua/ua/shop/kondytsioner-dlia-bilyzny-silan-sensitive-baby-2-86-l.html,https://cdn.27.ua/190/e0/e7/7069927_1.jpeg,299,434,135,,,В наявності,Чесна Вигода -31%,Silan,31
