title,url,image,price,old_price,discount_amount_uah,rating,reviews_count,availability,badges,brand,discount_percent
Гель для машинного та ручного прання Wash&Free Універсальний 5 л,https://epicentrk.ua/ua/shop/gel-dlya-mashinnoy-i-ruchnoy-stirki-power-de-luxe-wash-free-universalnyy-5-l.html,https://cdn.27.ua/190/21/e2/1057250_4.jpeg,197,315,118,,,В наявності,Чесна Вигода -37%,Гель,37
Гель для машинного та ручного прання Frosch Алое Вера 5 л,https://epicentrk.ua/ua/shop/hel-dlia-mashynnoho-ta-ruchnoho-prannia-frosch-aloe-vera-5-l.html,https://cdn.27.ua/190/66/25/7366181_1.jpeg,664,1241,577,,,В наявності,Чесна Вигода -46%,Гель,46
Гель для машинного та ручного прання Wash&Free Універсальний_Жасмин та лаванда з марсельським милом 5 л,https://epicentrk.ua/ua/shop/hel-dlia-mashynnoho-ta-ruchnoho-prannia-wash-free-universalnyi-zhasmyn-ta-lavanda-z-marselskym-mylom-5-kh.html,https://cdn.27.ua/190/f8/09/6879241_4.jpeg,197,315,118,,,В наявності,Чесна Вигода -37%,Гель,37
"Порошок для машинного та ручного прання Persil Колор ""Свіжість від Сілан"" 10,8 кг",https://epicentrk.ua/ua/shop/poroshok-dlia-mashynnoho-ta-ruchnoho-prannia-persil-kolor-svizhist-vid-silan-10-8-kh.html,https://cdn.27.ua/190/b2/c1/7910081_1.jpeg,999,1798,799,,,В наявності,Чесна Вигода -44%,Порошок,44
Гель для машинного та ручного прання Pro Wash універсальний 4 кг,https://epicentrk.ua/ua/shop/hel-dlia-mashynnoho-ta-ruchnoho-prannia-prowash-universalnyi-4-kh.html,https://cdn.27.ua/190/1e/6f/6954607_1.jpeg,126,201,75,,,В наявності,Чесна Вигода -37%,Гель,37
"Гель для машинного та ручного прання Alles GUT! ECO універсальний 1,5 л +1,5 л 3 л",https://epicentrk.ua/ua/shop/ridkyi-zasib-dlia-mashynnoho-ta-ruchnoho-prannia-alles-gut-eco-universalnyi-1-5-l-1-5-l-3-l-2-sht.html,https://cdn.27.ua/190/4a/23/7817763_1.jpeg,521,1098,577,,,В наявності,Акція -52%,Гель,53
Капсули для машинного прання Persil Color 88 шт.,https://epicentrk.ua/ua/shop/kapsuly-dlia-mashynnoho-prannia-persil-color-88-sht.html,https://cdn.27.ua/190/73/01/8483585_1.jpeg,849,2214,1365,,,В наявності,Чесна Вигода -61%,Капсули,62
"Гель для машинного та ручного прання WASCHKONIG Universal 3,305 л",https://epicentrk.ua/ua/shop/gel-dlya-mashinnoy-i-ruchnoy-stirki-waschkonig-universal-3-375-l.html,https://cdn.27.ua/190/32/86/1127046_1.jpeg,209,348,139,,,В наявності,Чесна Вигода -39%,Гель,40
Гель для машинного та ручного прання Perwoll Відновлення та Аромат 4 л,https://epicentrk.ua/ua/shop/hel-dlia-mashynnoho-ta-ruchnoho-prannia-perwoll-vidnovlennia-ta-aromat-4-l.html,https://cdn.27.ua/190/b2/9f/7910047_1.jpeg,579,1058,479,,,В наявності,Чесна Вигода -45%,Гель,45
Гель для машинного та ручного прання Wash&Free Гірська свіжість 5 кг,https://epicentrk.ua/ua/shop/hel-dlia-mashynnoho-ta-ruchnoho-prannia-wash-free-hirska-svizhist-5-kh.html,https://cdn.27.ua/190/31/35/7549237_3.jpeg,197,315,118,,,В наявності,Чесна Вигода -37%,Гель,37
"Гель для машинного та ручного прання Persil Колор 4,5 л",https://epicentrk.ua/ua/shop/hel-dlia-mashynnoho-ta-ruchnoho-prannia-persil-kolor-4-5-l.html,https://cdn.27.ua/190/b2/f9/7910137_2.jpeg,854,2065,1211,,,В наявності,Чесна Вигода -58%,Гель,59
Гель для машинного та ручного прання Alles GUT! ECO для кольорових тканин + для темних тканин 4 л,https://epicentrk.ua/ua/shop/hel-dlia-mashynnoho-ta-ruchnoho-prannia-alles-gut-eco-dlia-kolorovykh-tkanyn-dlia-temnykh-tkanyn-4-l-2-sht.html,https://cdn.27.ua/190/4a/21/7817761_2.jpeg,569,998,429,,,В наявності,Акція -42%,Гель,43
"Гель для машинного прання WASCHKONIG Sensitive 3,305 л",https://epicentrk.ua/ua/shop/gel-dlya-mashinnoy-stirki-waschkonig-sensitive-3-305-l-1-sht.html,https://cdn.27.ua/190/6f/98/1601432_1.jpeg,198,348,150,,,В наявності,Чесна Вигода -43%,Гель,43
Пральний порошок для машинного прання Gala аква-пудра морська свіжість для кольорової білизни 8 кг,https://epicentrk.ua/ua/shop/stiralnyy-poroshok-dlya-mashinnoy-stirki-gala-morskaya-svezhest-8-kg.html,https://cdn.27.ua/190/a5/51/697681_6.jpeg,694,1110,416,,,В наявності,Чесна Вигода -37%,Пральний,37
Гель для машинного та ручного прання Perwoll для чорних та темних речей 4 л,https://epicentrk.ua/ua/shop/hel-dlia-mashynnoho-ta-ruchnoho-prannia-perwoll-dlia-chornykh-ta-temnykh-rechei-4-l.html,https://cdn.27.ua/190/b2/9d/7910045_1.jpeg,579,1058,479,,,В наявності,Чесна Вигода -45%,Гель,45
Гель для прання для машинного та ручного прання Pro Wash Весняна свіжість 4 кг,https://epicentrk.ua/ua/shop/hel-dlia-prannia-dlia-mashynnoho-ta-ruchnoho-prannia-pro-wash-vesniana-svizhist-4-kh.html,https://cdn.27.ua/190/4a/93/8735379_1.jpeg,126,201,75,,,В наявності,Чесна Вигода -37%,Гель,37
"Порошок для машинного та ручного прання Persil Колор ""Свіжість від Сілан"" 4,05 кг",https://epicentrk.ua/ua/shop/poroshok-dlia-mashynnoho-ta-ruchnoho-prannia-persil-kolor-svizhist-vid-silan-4-05-kh.html,https://cdn.27.ua/190/b3/0f/7910159_1.jpeg,479,689,210,,,В наявності,Чесна Вигода -30%,Порошок,30
Гель для машинного та ручного прання Perwoll для кольорових речей 4 л,https://epicentrk.ua/ua/shop/hel-dlia-mashynnoho-ta-ruchnoho-prannia-perwoll-dlia-kolorovykh-rechei-4-l.html,https://cdn.27.ua/190/b2/9b/7910043_1.jpeg,579,1058,479,,,В наявності,Чесна Вигода -45%,Гель,45
"Рідкий засіб для машинного та ручного прання Frosch Baby 1,5 л",https://epicentrk.ua/ua/shop/gel-universal-frosch-baby-1-5-l-.html,https://cdn.27.ua/190/23/0d/467725_7.jpeg,449,599,150,,,В наявності,Чесна Вигода -25%,Рідкий,25
Пральний порошок для машинного та ручного прання Ariel Аква-Пудра Color 3 кг,https://epicentrk.ua/ua/shop/pralnyi-poroshok-dlia-mashynnoho-ta-ruchnoho-prannia-ariel-akva-pudra-color-3-kh.html,https://cdn.27.ua/190/62/1b/9724443_1.jpeg,329,569,240,,,В наявності,Чесна Вигода -42%,Пральний,42
