title,url,image,price,old_price,discount_amount_uah,rating,reviews_count,availability,badges,brand,discount_percent
Засіб для чищення Domestos Ультра білий 1 л,https://epicentrk.ua/ua/shop/universalnoe-sredstvo-domestos-ultra-belyy-1-l.html,https://cdn.27.ua/190/53/a1/152481_20.jpeg,111,159,47,,,В наявності,Чесна Вигода -30%,Засіб,30
"Спрей SAVO Dezinfekce проти плісняви 0,5 л",https://epicentrk.ua/ua/shop/sprei-savo-dezinfekce-proty-plisniavy-0-5-l.html,https://cdn.27.ua/190/a6/23/6858275_2.jpeg,109,156,46,,,В наявності,Чесна Вигода -30%,SAVO,30
Засіб для чищення Domestos Атлантична свіжість 1 л 1024/1029,https://epicentrk.ua/ua/shop/universalnoe-sredstvo-domestos-atlanticheskaya-svezhest-1-l.html,https://cdn.27.ua/190/4f/12/85778_26.jpeg,111,159,47,,,В наявності,Чесна Вигода -30%,Засіб,30
"Засіб Cillit Bang Trigger для видалення чорної цвілі 0,75 л",https://epicentrk.ua/ua/shop/sredstvo-ot-pleseni-cillit-bang-trigger-0-75-l-1-sht-up.html,https://cdn.27.ua/190/dc/fa/1105146_7.jpeg,141,236,94,,,В наявності,Чесна Вигода -40%,Cillit Bang,40
Засіб для чищення унітаза Domestos Грін,https://epicentrk.ua/ua/shop/gel-dlya-unitaza-domestos-grin-0-75-l.html,https://cdn.27.ua/190/8f/24/1019684_11.jpeg,108,128,19,,,В наявності,Чесна Вигода -15%,Засіб,16
"Блок з очисним засобом Bref Сила актив мікс Лимон-Океан, 4шт",https://epicentrk.ua/ua/shop/blok-s-chistyaschim-sredstvom-dlya-ochistki-unitaza-bref-cila-aktiv-miks-limon-okean-274-g.html,https://cdn.27.ua/190/b1/6c/897388_4.jpeg,213,270,56,,,В наявності,Чесна Вигода -21%,Bref,21
"Засіб Cif Анти-наліт для чищення ванної 0,5 л",https://epicentrk.ua/ua/shop/moyushchee-sredstvo-cif-dlya-vannoy-500-ml.html,https://cdn.27.ua/190/96/62/104034_23.jpeg,86,123,36,,,В наявності,Чесна Вигода -30%,Cif,30
"Миючий засіб Mr.Proper для підлоги Лимон 1,5 л",https://epicentrk.ua/ua/shop/moyushchee-sredstvo-dlya-sten-i-pola-mr-proper-limon-1-5-l.html,https://cdn.27.ua/190/53/0c/152332_13.jpeg,185,281,95,,,В наявності,Чесна Вигода -33%,Mr.Proper,34
Засіб для чищення унітаза Cillit Bang Сила цитруса 750 мл,https://epicentrk.ua/ua/shop/sredstvo-dlya-ochishchenie-tualeta-cillit-bang-sila-tsitrusa-750-ml.html,https://cdn.27.ua/190/50/c4/86212_10.jpeg,93,144,50,,,В наявності,Чесна Вигода -35%,Cillit Bang,35
Блок з очисним засобом Bref Блакитна Сила Квіткова Свіжість,https://epicentrk.ua/ua/shop/blok-s-chistyaschim-sredstvom-dlya-unitaza-bref-golubaya-sila-tsvetochnaya-svezhest-150-g.html,https://cdn.27.ua/190/e8/73/911475_5.jpeg,181,230,48,,,В наявності,Чесна Вигода -21%,Bref,21
"Засіб Cillit Bang Expert Кінець Бруду 0,75 л",https://epicentrk.ua/ua/shop/sprey-cillit-bang-dlya-udaleniya-izvestkovogo-naleta-i-rzhavchiny-750-ml.html,https://cdn.27.ua/190/25/c2/337346_8.jpeg,141,236,94,,,В наявності,Чесна Вигода -40%,Cillit Bang,40
"Миючий засіб Mr.Proper для підлоги Гірське джерело та прохолода 1,5 л",https://epicentrk.ua/ua/shop/sredstvo-dlya-sten-i-pola-mr-proper-gornyy-ruchey-prokhlada-1-5-l.html,https://cdn.27.ua/190/cd/ac/1166764_11.jpeg,185,281,95,,,В наявності,Чесна Вигода -33%,Mr.Proper,34
Засіб Sano Anti Kalk для видалення іржі та вапняного нальоту 1 л,https://epicentrk.ua/ua/shop/antikalk-sano-dlya-obshchego-ispolzovaniya-1-l.html,https://cdn.27.ua/190/13/24/267044_4.jpeg,223,319,95,,,В наявності,Чесна Вигода -30%,Sano,30
Засіб для чищення Domestos Експерт сила 21137037,https://epicentrk.ua/ua/shop/universalnoe-sredstvo-domestos-ekspert-sila-1-l.html,https://cdn.27.ua/190/ac/16/175126_13.jpeg,119,159,39,,,В наявності,Чесна Вигода -24%,Засіб,25
Універсальний засіб Domestos Свіжість Атлантики 2 л,https://epicentrk.ua/ua/shop/chistyaschee-sredstvo-domestos-svezhest-atlantiki-2-l.html,https://cdn.27.ua/190/21/0d/925965_12.jpeg,211,264,52,,,В наявності,Чесна Вигода -20%,Універсальний,20
"Засіб для чищення унітаза DUCK 5 в 1 Антиналіт 0,9 л",https://epicentrk.ua/ua/shop/hel-tualetnyi-utenok-supersyla-antynalit.html,https://cdn.27.ua/190/58/3f/7034943_1.jpeg,152,,,,,В наявності,Чесна Вигода ,DUCK,
