title,url,image,price,old_price,discount_amount_uah,rating,reviews_count,availability,badges,brand,discount_percent
"Зволожувальний крем для нормальної шкіри Christina Elastin Collagen Azulene Moisture Cream with Vitamins A, E & HA 60 мл",https://maudau.com.ua/product/zvolozhuvalnyi-krem-dlia-normalnoi-shkiry-christina-elastin-collagen-azulene-moisture-cream-with-vitamins-a-e-ha-60-ml,https://image.maudau.com.ua/webp/size/lg/products/a4/3d/ea/a43deaff-6435-4ad4-a39d-70710cb29723.jpg,599,735,136,5,10,В наявності,,Зволожувальний,19
Міцелярний лосьйон Bioderma Sensibio Н2О 500 мл (028709X),https://maudau.com.ua/product/mitseliarnyi-losion-bioderma-sensibio-n2o-500-ml-028709x,https://image.maudau.com.ua/webp/size/lg/products/7c/8b/ca/7c8bca2a71ae94ac482475156db5c95e.jpg,429,752,323,5,119,В наявності,,Міцелярний,43
Тонер для обличчя Medi-Peel Hyal Kombucha Tea-Tox Toner з комбучею та гіалуроновою кислотою 150 мл,https://maudau.com.ua/product/toner-z-kombucheiu-ta-hialuronovoiu-kyslotoiu-medi-peel-hyal-kombucha-tea-tox-toner-150ml,https://image.maudau.com.ua/webp/size/lg/products/a3/fe/94/a3fe9462-b864-47bc-95d4-0435c6fb01b5,573,769,196,5,14,В наявності,,Тонер,25
Нічна гідрогелева маска з колагеном Biodance Bio-Collagen Real Deep Mask 1 шт. (BT20658),https://maudau.com.ua/product/biodance-bio-collagen-real-deep-mask-1ea-hidroheleva-maska-z-kolahenom,https://image.maudau.com.ua/webp/size/lg/products/81/e8/79/81e87964c51d13e698555f4ce7f105a2.jpg,232,279,47,5,36,В наявності,,Нічна,17
Полунична маска краси для нормальної шкіри Christina Sea Herbal Strawberry Beauty Mask 60 мл,https://maudau.com.ua/product/polunychna-maska-krasy-dlia-normalnoi-shkiry-christina-sea-herbal-strawberry-beauty-mask-60-ml,https://image.maudau.com.ua/webp/size/lg/products/59/5e/7e/595e7e68-ab35-47bb-9ee6-d349fdd46145.jpg,765,,,5,2,В наявності,,Полунична,
"Зволожуючий крем CeraVe для сухої та дуже сухої шкіри обличчя та тіла, 340 мл (MB112201)",https://maudau.com.ua/product/zvolozhuiuchyi-krem-cerave-dlia-sukhoi-ta-duzhe-sukhoi-shkiry-oblychchia-ta-tila-340-ml-mb112201,https://image.maudau.com.ua/webp/size/lg/products/ec/8e/aa/ec8eaaf9-2c77-4796-bb21-9a27cd1c6a19.png,529,723,194,5,66,В наявності,,Зволожуючий,27
Заспокійливий відновлювальний зволожувальний крем La Roche-Posay Effaclar H Iso-Biome для зневодненої чутливої шкіри схильної до недоліків 40 мл (MB425200),https://maudau.com.ua/product/zaspokiilyvyi-vidnovliuvalnyi-zvolozhuvalnyi-krem-la-roche-posay-effaclar-h-iso-biome-dlia-znevodnenoi-chutlyvoi-shkiry-skhylnoi-do-nedolikiv-40-ml-mb425200,https://image.maudau.com.ua/webp/size/lg/products/40/94/87/409487bfd8ea2b8377cc3e2ea207aedb.jpg,587,744,157,5,25,В наявності,,Заспокійливий,21
Ліфтинг маска для боротьби з набряками Hollyskin Artichoke Skin Perfecting охолоджуюча 250 г,https://maudau.com.ua/product/liftynh-maska-dlia-borotby-z-nabriakamy-hollyskin-artichoke-skin-perfecting-okholodzhuiucha-250-h,https://image.maudau.com.ua/webp/size/lg/products/38/ca/df/38cadf77-a718-4e7a-9b91-811eb4fad149.jpg,398,492,94,5,48,В наявності,,Ліфтинг,19
Міцелярна вода Garnier Skin Naturals 400 мл (C5260101),https://maudau.com.ua/product/mitseliarna-voda-garnier-skin-naturals-400-ml-c5260101,https://image.maudau.com.ua/webp/size/lg/products/a1/5e/72/a15e72ea-6be5-4bf2-adf6-e0c05b132366.png,99,187,88,5,109,В наявності,,Міцелярна,47
Глибоко очищувальний гель CeraVe для схильної до недосконалостей шкіри обличчя та тіла 236 мл,https://maudau.com.ua/product/hlyboko-ochyshchuvalnyi-hel-cerave-dlia-skhylnoi-do-nedoskonalostei-shkiry-oblychchia-ta-tila-236-ml,https://image.maudau.com.ua/webp/size/lg/products/da/e6/fa/dae6facab498d5af5b0e979e7c520052.jpg,415,567,152,5,72,В наявності,,Глибоко,27
Тонер для обличчя Tony Moly Wonder з керамідами 500 мл,https://maudau.com.ua/product/toner-dlia-oblychchia-keramid,https://image.maudau.com.ua/webp/size/lg/products/e0/8c/49/e08c49e0-c1b9-4951-9645-40a55db3d5ad,569,677,108,5,9,В наявності,,Тонер,16
Інтенсивно очищувальний гель CeraVe для нормальної та жирної шкіри обличчя та тіла 473 мл,https://maudau.com.ua/product/intensyvno-ochyshchuvalnyi-hel-cerave-dlia-normalnoi-ta-zhyrnoi-shkiry-oblychchia-ta-tila-473-ml-mb299900,https://image.maudau.com.ua/webp/size/lg/products/68/9f/ea/689fea566ce53b5e7469a60b603dd3a7.jpg,529,653,124,5,83,В наявності,,Інтенсивно,19
Набір: сироватка-замінник ботоксу RoBeauty Argireline 30 мл + крем-замінник ботоксу RoBeauty Argireline 50 мл,https://maudau.com.ua/product/nabir-syrovatka-zaminnyk-botoksu-robeauty-argireline-30-ml-krem-zaminnyk-botoksu-robeauty-argireline-50-ml,https://image.maudau.com.ua/webp/size/lg/products/b2/17/0c/b2170c93f41721a82257067538788955.jpg,799,1744,945,,,В наявності,,Набір:,54
Очищаюча зволожуюча емульсія CeraVe для нормальної та сухої шкіри обличчя та тіла 473 мл (MB299700),https://maudau.com.ua/product/ochyshchaiucha-zvolozhuiucha-emulsiia-cerave-dlia-normalnoi-ta-sukhoi-shkiry-oblychchia-ta-tila-473-ml-mb299700,https://image.maudau.com.ua/webp/size/lg/products/e1/dd/30/e1dd300462ad90e9b4bcc98f69f5e974.jpg,467,653,186,5,21,В наявності,,Очищаюча,28
"Сироватка з ретинолом CeraVe для вирівнювання текстури шкіри обличчя та зменшення слідів недосконалостей, 30 мл",https://maudau.com.ua/product/syrovatka-z-retynolom-cerave-dlia-vyrivniuvannia-tekstury-shkiry-oblychchia-ta-zmenshennia-slidiv-nedoskonalostei-30-ml,https://image.maudau.com.ua/webp/size/lg/products/cb/d3/b4/cbd3b4c1-481c-43b0-be2a-9db8fc18abab,646,912,266,5,16,В наявності,,Сироватка,29
Очищувальний гель-мус La Roche-Posay Effaclar для жирної та проблемної шкіри 400 мл,https://maudau.com.ua/product/ochyshchuiuchyi-hel-mus-la-roche-posay-effaclar-dlia-zhyrnoi-i-problemnoi-shkiry-400-ml,https://image.maudau.com.ua/webp/size/lg/products/9e/12/02/9e1202b6f657eaf56646736542cc99d7.jpg,633,768,135,5,30,В наявності,,Очищувальний,18
Крем-замінник ботоксу RoBeauty Argireline 50 мл,https://maudau.com.ua/product/robeauty-krem-zaminnyk-botoksu-argireline-50ml,https://image.maudau.com.ua/webp/size/lg/products/3d/e2/58/3de258b14b4cc2a192793d9acd88191e.jpg,489,835,346,5,31,В наявності,,Крем-замінник,41
Сироватка-замінник ботоксу RoBeauty Argireline 30 мл,https://maudau.com.ua/product/robeauty-syrovatka-zaminnyk-botoksu-argireline-30ml,https://image.maudau.com.ua/webp/size/lg/products/45/97/54/459754947459df32d98afc2746cfaed8.jpg,360,909,549,5,58,В наявності,,Сироватка-замінник,60
"Нічний зволожуючий крем CeraVe для нормальної та сухої шкіри обличчя, 52 мл (MB097101)",https://maudau.com.ua/product/nichnyi-zvolozhuiuchyi-krem-cerave-dlia-normalnoi-ta-sukhoi-shkiry-oblychchia-52-ml-mb097101,https://image.maudau.com.ua/webp/size/lg/products/fe/ca/ce/fecace4a-9b2b-4c93-9cb4-96c3038cbeb9.jpg,599,714,115,5,11,В наявності,,Нічний,16
Заспокійливий тонік La Roche-Posay для чутливої шкіри 200 мл,https://maudau.com.ua/product/zaspokiilyvyi-tonik-la-roche-posay-dlia-chutlyvoi-shkiry-200-ml,https://image.maudau.com.ua/webp/size/lg/products/49/40/84/4940847fa6ff6c04df281c30d428a9a5.jpg,529,736,207,5,28,В наявності,,Заспокійливий,28
Нічна гідрогелева маска з керамідами Biodance Hydro Cera-nol Real Deep Mask 1 шт.,https://maudau.com.ua/product/nichna-hidroheleva-vidnovliuiucha-maska-z-keramidamy-biodance-hydro-cera-nol-real-deep-mask,https://image.maudau.com.ua/webp/size/lg/products/8e/61/2b/8e612be6584ca394b0e22e7cdded713a.jpg,240,279,39,5,11,В наявності,,Нічна,14
Бальзам для губ Nivea Med Repair 4.8 г (85063),https://maudau.com.ua/product/balzam-dlia-hub-nivea-intensyvnyi-zakhyst,https://image.maudau.com.ua/webp/size/lg/products/d5/50/c0/d550c013-889f-4fdd-9c41-68a75ebf60e3.jpg,86,127,41,5,7,В наявності,,Бальзам,32
"Маска для губ Laneige Lip Sleeping Mask Berry Лісові ягоди, 3 мл",https://maudau.com.ua/product/maska-dlia-hub-laneige-lip-sleeping-mask-berry-lisovi-yahody-3-ml,https://image.maudau.com.ua/webp/size/lg/products/b0/b7/7d/b0b77d86108992f39206f99f82f214da.jpg,144,189,45,5,69,В наявності,,Маска,24
Відновлюючий бальзам для губ La Roche-Posay Cicaplast Levres 7.5 мл,https://maudau.com.ua/product/vidnovliuiuchyi-balzam-dlia-hub-la-roche-posay-cicaplast-levres-75-ml,https://image.maudau.com.ua/webp/size/lg/products/71/0b/82/710b82d41cadef8ba6b99239a7563e17.jpg,301,339,38,5,25,В наявності,,Відновлюючий,11
"Зволожуючий крем CeraVe для сухої та дуже сухої шкіри обличчя та тіла, 177 мл (MB107500)",https://maudau.com.ua/product/zvolozhuiuchyi-krem-cerave-dlia-sukhoi-ta-duzhe-sukhoi-shkiry-oblychchia-ta-tila-177-ml-mb107500,https://image.maudau.com.ua/webp/size/lg/products/d7/04/f3/d704f387-26ab-41f6-ac49-593cf3be0b25.jpg,369,484,115,5,14,В наявності,,Зволожуючий,24
"Крем для обличчя Medi-Peel з пептидним комплексом Bor-Tox Peptide Cream, 50 мл",https://maudau.com.ua/product/krem-dlia-oblychchia-medi-peel-z-peptydnym-kompleksom-bor-tox-peptide-cream-50-ml,https://image.maudau.com.ua/webp/size/lg/products/ab/d9/18/abd918b8-b189-479b-bf1a-6367f5e17cb7.jpg,648,1075,427,5,5,В наявності,,Крем,40
Очищаючий крем-гель для обличчя La Roche-Posay Effaclar H Iso-Biome для зневодненої чутливої шкіри обличчя та тіла схильної до недоліків 200 мл (MB424500),https://maudau.com.ua/product/ochyshchaiuchyi-krem-hel-dlia-oblychchia-la-roche-posay-effaclar-h-iso-biome-dlia-znevodnenoi-chutlyvoi-shkiry-oblychchia-ta-tila-skhylnoi-do-nedolikiv-200-ml-mb424500,https://image.maudau.com.ua/webp/size/lg/products/f1/25/b8/f125b805062932fea12fb69d5d4d1aea.jpg,539,702,163,5,9,В наявності,,Очищаючий,23
Крем-пілінг для обличчя  Medi-Peel AHA BHA 28 Days Hyal Cream відновлювальний з кислотами та пептидами 30 мл,https://maudau.com.ua/product/krem-pilinh-dlia-oblychchia-vidnovliuiuchyi-z-kyslotamy-medi-peel-aha-bha-28-days-hyal-cream-30ml,https://image.maudau.com.ua/webp/size/lg/products/87/34/da/8734dac7-ed25-4c40-9333-3aeff252fa3d,910,,,5,3,В наявності,,Крем-пілінг,
Міцелярна вода Simple Kind to Skin 400 мл,https://maudau.com.ua/product/mitseliarna-voda-simple-kind-to-skin-micellar-water-400-ml,https://image.maudau.com.ua/webp/size/lg/products/19/af/04/19af04a6-46f2-4c23-8a9a-41fe141ec6ba.jpg,126,169,43,5,19,В наявності,,Міцелярна,25
Зволожуючий крем для обличчя La Roche-Posay Toleriane 40 мл,https://maudau.com.ua/product/zvolozhuiuchyi-krem-dlia-oblychchia-la-roche-posay-toleriane-40-ml,https://image.maudau.com.ua/webp/size/lg/products/40/bb/e9/40bbe9099a763a15b5b6597e9cf5ad12.jpg,666,789,123,5,14,В наявності,,Зволожуючий,16
"Інтенсивний зволожуючий крем для обличчя, рук та тіла Nivea Soft, 200 мл (89050)",https://maudau.com.ua/product/intensyvnyi-zvolozhuiuchyi-krem-dlia-oblychchia-ruk-ta-tila-nivea-soft-200-ml-89050,https://image.maudau.com.ua/webp/size/lg/products/99/8d/92/998d9203-db99-4415-92b6-d7d4791c365a.jpg,112,172,60,5,22,В наявності,,Інтенсивний,35
"Гель-бустер Vichy Mineral 89, що підсилює пружність та зволоження шкіри обличчя 50 мл",https://maudau.com.ua/product/hel-buster-vichy-mineral-89-shcho-pidsyliuie-pruzhnist-ta-zvolozhennia-shkiry-oblychchia-50-ml,https://image.maudau.com.ua/webp/size/lg/products/c5/c8/1d/c5c81de128eeb195b1f5125459ec8ffb.jpg,778,1097,319,5,13,В наявності,,Гель-бустер,29
Крем для шкіри навколо очей Medi-Peel Peptide 9 Hyaluronic Volumy Eye Cream 40 мл,https://maudau.com.ua/product/peptydnyi-krem-dlia-shkiry-navkolo-ochei-medi-peel-peptide-9-hyaluronic-volumy-eye-cream-40-ml,https://image.maudau.com.ua/webp/size/lg/products/42/03/df/4203df666acc663a258a2e91b06e0861.jpg,526,1066,540,5,12,В наявності,,Крем,51
Інтенсивно очищувальний гель CeraVe для нормальної та жирної шкіри обличчя та тіла 236 мл (MB299200),https://maudau.com.ua/product/intensyvno-ochyshchuvalnyi-hel-cerave-dlia-normalnoi-ta-zhyrnoi-shkiry-oblychchia-ta-tila-236-ml-mb299200,https://image.maudau.com.ua/webp/size/lg/products/79/48/52/7948523486aebf951e8d60d54deff5cb.jpg,377,505,128,5,15,В наявності,,Інтенсивно,25
Міцелярна пінка La Roche-Posay для чутливої шкіри 150 мл,https://maudau.com.ua/product/mitseliarna-pinka-la-roche-posay-dlia-chutlyvoi-shkiry-150-ml,https://image.maudau.com.ua/webp/size/lg/products/94/ae/68/94ae68726763051ee82fdc97ba89ed0b.jpg,606,707,101,5,14,В наявності,,Міцелярна,14
Коригувальний засіб комплексної дії La Roche-Posay Effaclar Duo+M для жирної та проблемної шкіри 40 мл,https://maudau.com.ua/product/koryhuvalnyi-zasib-kompleksnoi-dii-la-roche-posay-effaclar-duom-dlia-zhyrnoi-ta-problemnoi-shkiry-40-ml,https://image.maudau.com.ua/webp/size/lg/products/55/72/0f/55720f0e-c302-415a-80e2-0ffbb57c3da5.jpg,555,647,92,5,14,В наявності,,Коригувальний,14
Зволожувальний очищувальний гель-мус подвійної дії La Roche-Posay Toleriane Foaming Gel 400 мл,https://maudau.com.ua/product/zvolozhuvalnyi-ochyshchuvalnyi-hel-mus-podviinoi-dii-la-roche-posay-toleriane-foaming-gel-400-ml,https://image.maudau.com.ua/webp/size/lg/products/df/20/94/df209459318307816179d1b69a8f0674.jpg,739,854,115,5,12,В наявності,,Зволожувальний,13
Щоденний флюїд подвійної дії Vichy Normaderm Phytosolution для жирної схильної до недоліків шкіри 50 мл,https://maudau.com.ua/product/shchodennyi-fliuid-podviinoi-dii-vichy-normaderm-phytosolution-dlia-zhyrnoi-skhylnoi-do-nedolikiv-shkiry-50-ml,https://image.maudau.com.ua/webp/size/lg/products/fa/60/91/fa6091e2be9d82c3802cf277015d8e9f.jpg,615,867,252,5,14,В наявності,,Щоденний,29
"Денний зволожуючий крем CeraVe для нормальної та сухої шкіри обличчя з SPF 30, 52 мл (MB525400)",https://maudau.com.ua/product/dennyi-zvolozhuiuchyi-krem-cerave-dlia-normalnoi-ta-sukhoi-shkiry-oblychchia-z-spf25-52-ml-mb097502,https://image.maudau.com.ua/webp/size/lg/products/c8/c9/8b/c8c98b01-3cd7-4c95-b982-dcef0c6f2451,608,714,106,5,15,В наявності,,Денний,15
Крем CeraVe для шкіри навколо очей відновлювальний 14 мл,https://maudau.com.ua/product/vidnovliuvalnyi-krem-cerave-dlia-vsikh-typiv-shkiry-navkolo-ochei-14-ml-mb095501,https://image.maudau.com.ua/webp/size/lg/products/98/28/37/9828377319874eb9cb603bf88b4de415.jpg,490,691,201,5,12,В наявності,,Крем,29
Очищаюча зволожуюча емульсія CeraVe для нормальної та сухої шкіри обличчя та тіла 236 мл (MB094520),https://maudau.com.ua/product/ochyshchaiucha-zvolozhuiucha-emulsiia-cerave-dlia-normalnoi-ta-sukhoi-shkiry-oblychchia-ta-tila-236-ml-mb094520,https://image.maudau.com.ua/webp/size/lg/products/dc/dd/46/dcdd4675dd9f1ec7afa6d44b5cd02905.jpg,358,505,147,5,11,В наявності,,Очищаюча,29
Бальзам-догляд для губ Nivea Cherry Shine Вишневе сяйво 4.8 г (85077),https://maudau.com.ua/product/balzam-dlia-hub-nivea-vyshneve-siaivo-85077,https://image.maudau.com.ua/webp/size/lg/products/6e/7b/e5/6e7be5a7e24d83bc7987f31b70ebb169.jpg,69,127,58,5,7,В наявності,,Бальзам-догляд,46
"Пом'якшуючий крем CeraVe для сухої, загрубілої та нерівної шкіри обличчя та тіла 177 мл (MB190800)",https://maudau.com.ua/product/pomiakshuiuchyi-krem-cerave-dlia-sukhoi-zahrubiloi-ta-nerivnoi-shkiry-oblychchia-ta-tila-177-ml-mb190800,https://image.maudau.com.ua/webp/size/lg/products/ed/46/f5/ed46f56354b4bea63106de22c22ba92c.jpg,445,628,183,5,8,В наявності,,Пом'якшуючий,29
Очищаючий крем-гель La Roche-Posay Toleriane для чутливої шкіри 400 мл,https://maudau.com.ua/product/ochyshchaiuchyi-krem-hel-la-roche-posay-toleriane-dlia-chutlyvoi-shkiry-400-ml,https://image.maudau.com.ua/webp/size/lg/products/45/b4/be/45b4beead0b583954554080a73be958a.jpg,699,854,155,5,9,В наявності,,Очищаючий,18
Лосьйон La Roche-Posay Effaclar для очищення і звуження пор 200 мл,https://maudau.com.ua/product/losion-la-roche-posay-effaclar-dlia-ochyshchennia-i-zvuzhennia-por-200-ml,https://image.maudau.com.ua/webp/size/lg/products/64/26/ca/6426ca7249c3db357aae23a34727b10e.jpg,559,664,105,5,12,В наявності,,Лосьйон,16
