title,url,image,price,old_price,discount_amount_uah,rating,reviews_count,availability,badges,brand,discount_percent
Віскі Jameson Irish Whisky 40% 0.7 л,https://maudau.com.ua/product/viski-jameson-irish-whisky-40-07-l-58113,https://image.maudau.com.ua/webp/size/lg/products/df/c3/b6/dfc3b63e98c39245b5cd5ea4ee3de004.jpg,699,985,286,5,326,В наявності,,Віскі,29
"Віскі Jameson Irish Whiskey, 40%, 1 л",https://maudau.com.ua/product/viski-jameson-irish-whiskey-40-1-l-2712,https://image.maudau.com.ua/webp/size/lg/products/8c/98/eb/8c98eb9e-e27a-4ed2-a841-8bfe03e96643,899,1330,431,5,244,В наявності,,Віскі,32
Віскі Jack Daniel's Tennessee Old No.7 40% 0.7 л,https://maudau.com.ua/product/viski-jack-daniels-tennessee-old-no7-40-07-l-374122,https://image.maudau.com.ua/webp/size/lg/products/2c/3e/6d/2c3e6ddf9bde6e3e6a18334c715b5771.jpg,665,839,174,5,275,В наявності,,Віскі,21
Спиртний напій на основі рому Bacardi Oakheart Original 35% 1 л,https://maudau.com.ua/product/romovyi-napii-bacardi-oakheart-original-35-1-l-532439,https://image.maudau.com.ua/webp/size/lg/products/d8/03/af/d803af811737f7089470aba76bbf97e5.jpg,479,789,310,5,384,В наявності,,Спиртний,39
"Віскі Ballantine's Finest, 0,7 л, 40%",https://maudau.com.ua/product/viski-ballantines-finest-07-l-40-605400,https://image.maudau.com.ua/webp/size/lg/products/21/0a/5b/210a5b19-9abb-4591-89d0-5a0daa4d09fa.jpg,559,793,234,5,85,В наявності,,Віскі,30
Алкогольний напій Captain Morgan Spiced Gold 35% 1 л,https://maudau.com.ua/product/romovyi-napii-captain-morgan-spiced-gold-35-1-l-3920,https://image.maudau.com.ua/webp/size/lg/products/ac/a0/73/aca073c2b9e28c231910f23343fa9d20.jpg,469,879,410,5,264,В наявності,,Алкогольний,47
Упаковка віскі Bushmills Original Irish Whiskey 40% 1.5 л (0.5 л x 3 шт.),https://maudau.com.ua/product/upakovka-viski-bushmills-original-irish-whiskey-40-1-5-l-0-5-l-x-3-sht,https://image.maudau.com.ua/webp/size/lg/products/41/c0/74/41c0742c31f496ee9a42fc9d10644efb.jpg,999,2115,1116,5,16,В наявності,,Упаковка,53
Лікер Jack Daniel's Tennessee Honey 35% 1 л,https://maudau.com.ua/product/viski-jack-daniels-tennessee-honey-35-1-l-726428,https://image.maudau.com.ua/webp/size/lg/products/94/51/a1/9451a109fe6298ea48e575e9d8886de3.jpg,1015,1169,154,5,85,В наявності,,Лікер,13
Віскі Hankey Bannister Original Blended Scotch Whisky 40% 1 л,https://maudau.com.ua/product/viski-hankey-bannister-40-1-l,https://image.maudau.com.ua/webp/size/lg/products/26/ad/31/26ad31f5-aaa3-491f-9382-96b113b99f76,539,999,460,5,153,В наявності,,Віскі,46
"Горілка Finlandia Біла, 40%, 1 л (9112)",https://maudau.com.ua/product/horilka-finlandia-bila-40-1-l-9112,https://image.maudau.com.ua/webp/size/lg/products/47/56/37/475637bbda29ab7eecf635654ef65bd6.jpg,419,569,150,5,108,В наявності,,Горілка,26
Лікер Jack Daniel's Tennessee Apple 35% 0.7 л,https://maudau.com.ua/product/viski-liker-jack-daniels-tennessee-apple-35-07-l-891698,https://image.maudau.com.ua/webp/size/lg/products/ee/3e/a3/ee3ea3517c38a5da931b8a0b72e4abec.jpg,649,839,190,5,181,В наявності,,Лікер,23
Віскі Ballantine's Finest 40% 1 л,https://maudau.com.ua/product/viski-ballantines-finest-40-1-l-37400,https://image.maudau.com.ua/webp/size/lg/products/87/f0/cd/87f0cd23-dbad-445e-baaf-ab89e08fd4b6.jpg,699,1064,365,5,195,В наявності,,Віскі,34
"Віскі Hankey Bannister Original, 40%, 0,7 л",https://maudau.com.ua/product/viski-hankey-bannister-original-40-07-l-67706,https://image.maudau.com.ua/webp/size/lg/products/31/20/5e/31205e7293fe35cba4468d960f6fde77.jpg,349,739,390,5,126,В наявності,,Віскі,53
Лікер Jack Daniel's Honey 35% 0.7 л,https://maudau.com.ua/product/viski-jack-daniels-honey-35-07-l-610892,https://image.maudau.com.ua/webp/size/lg/products/8f/cd/11/8fcd119dcd20fa31d8d52b96aa56df14.jpg,699,839,140,5,130,В наявності,,Лікер,17
Віскі The Macallan Double Cask 12 yo Single Malt Scotch Whisky 40% 0.7 л,https://maudau.com.ua/product/viski-the-macallan-double-cask-12-yo-single-malt-scotch-whisky-40-07-l-857582,https://image.maudau.com.ua/webp/size/lg/products/d8/35/67/d835678c755fd07e737ce792faf50c66.jpg,3419,4099,680,5,15,В наявності,,Віскі,17
"Віскі Jack Daniel's Tennessee Old No.7, 40%, 0,5 л",https://maudau.com.ua/product/viski-jack-daniels-tennessee-old-no7-40-05-l-32967,https://image.maudau.com.ua/webp/size/lg/products/f4/91/88/f4918859f7a93e9ef01661fdc8aeb6f7.jpg,599,629,30,5,86,В наявності,,Віскі,5
Горілка Finlandia 40% 0.5 л (37541),https://maudau.com.ua/product/horilka-finlandia-40-05-l-37541,https://image.maudau.com.ua/webp/size/lg/products/8a/65/2d/8a652d87e57762bc071b857c1759391c.jpg,229,309,80,5,75,В наявності,,Горілка,26
"Лікер Jagermeister, 35%, 0,5 л (437390)",https://maudau.com.ua/product/liker-jgermeister-35-05-l-437390,https://image.maudau.com.ua/webp/size/lg/products/f8/a9/58/f8a95852-b9e6-47e9-963c-b36e6b2250f0.jpg,399,549,150,5,52,В наявності,,Лікер,27
Упаковка віскі Jameson Irish Whiskey 40% 6 л (1 л x 6 шт.),https://maudau.com.ua/product/viski-jameson-irish-whiskey-40-6-l-1-l-x-6-sht,https://image.maudau.com.ua/webp/size/lg/products/6a/fd/ce/6afdce7e6519e263a0949e3ae0bcc3dc.jpg,5394,7980,2586,5,2,В наявності,,Упаковка,32
Віскі The Pogues Blended Irish Whiskey 40% 0.7 л,https://maudau.com.ua/product/viski-the-pogues-blended-irish-whiskey-40-07-l-774162,https://image.maudau.com.ua/webp/size/lg/products/01/32/c5/0132c5f3-8b4c-4d6f-995b-ac5abcb74940.jpg,587,980,393,5,76,В наявності,,Віскі,40
Упаковка cпиртного напою на основі рому Bacardi Oakheart Original 35% 6 л (1 л х 6 шт.),https://maudau.com.ua/product/romovyi-napii-bacardi-oakheart-original-35-6-l-1-l-kh-6-sht,https://image.maudau.com.ua/webp/size/lg/products/3e/47/03/3e4703dd39f3bb17994cd80cfe1862a0.jpg,2874,4734,1860,5,9,В наявності,,Упаковка,39
