title,url,image,price,old_price,discount_amount_uah,rating,reviews_count,availability,badges,brand,discount_percent
Гранули для прочищення труб Mr Muscle 70 г,https://maudau.com.ua/product/hranuly-dlia-prochyshchennia-trub-mr-muscle-75-h,https://image.maudau.com.ua/webp/size/lg/products/37/43/ea/3743eae9790a17c37472674dd6287cee.jpg,40,49,9,5,40,В наявності,,Гранули,18
Порошок для чищення Bref для кухні з ефектом соди з ароматом лимона 0.5 кг (440891),https://maudau.com.ua/product/poroshok-dlia-chyshchennia-bref-efekt-sody-lymon-05-kh-440891,https://image.maudau.com.ua/webp/size/lg/products/1d/f3/b7/1df3b724-0867-4bb8-af55-671ff0db0f31.jpg,95,,,5,15,В наявності,,Порошок,
Засіб для миття посуду Fairy Соковитий лимон 500 мл,https://maudau.com.ua/product/zasib-dlia-myttia-posudu-fairy-sokovytyi-lymon-500-ml,https://image.maudau.com.ua/webp/size/lg/products/91/ff/33/91ff33fdd56dab098f02db63f2d9fef5.jpg,79,101,22,5,55,В наявності,,Засіб,22
Засіб для миття посуду Frosch Зелений лимон 1 л,https://maudau.com.ua/product/zasib-dlia-myttia-posudu-frosch-zelenyi-lymon-1-l,https://image.maudau.com.ua/webp/size/lg/products/7b/4c/6f/7b4c6faa-1051-4f7b-8cf9-38a2665cd88f.jpg,119,187,68,5,115,В наявності,,Засіб,36
Засіб для миття дитячого посуду Frosch Baby 500 мл,https://maudau.com.ua/product/zasib-dlia-myttia-dytiachoho-posudu-frosch-baby-500-ml,https://image.maudau.com.ua/webp/size/lg/products/b2/3c/2c/b23c2cb6-9bcd-482f-9a74-3c5ab9249f5d,118,187,69,5,36,В наявності,,Засіб,37
Засіб для миття посуду Fairy Pure & Clean 450 мл,https://maudau.com.ua/product/zasib-dlia-myttia-posudu-fairy-pure-clean-450-ml,https://image.maudau.com.ua/webp/size/lg/products/d3/75/04/d3750489aa615bef6d38410217187fdd.jpg,75,101,26,5,30,В наявності,,Засіб,26
Засіб для миття посуду Fairy Екстра+ Цитрус 650 мл,https://maudau.com.ua/product/zasib-dlia-myttia-posudu-fairy-ekstra-tsytrus-650-ml,https://image.maudau.com.ua/webp/size/lg/products/95/c2/5e/95c25ef56cc6f3a5bdd61acaa896f144.jpg,136,179,43,5,8,В наявності,,Засіб,24
Туалетний блок для унітазу Bref Color aktiv Квіткова свіжість 200 г (4 шт. х 50 г) (879850),https://maudau.com.ua/product/tualetnyi-blok-dlia-unitazu-bref-color-aktiv-kvitkova-svizhist-4-sht-po-50-h-879850,https://image.maudau.com.ua/webp/size/lg/products/3e/e9/9f/3ee99fa4ea63fd77437780ecbba553bc.jpg,193,251,58,5,53,В наявності,,Туалетний,23
Туалетний блок для унітазу Bref Duo-Cubes 100 г,https://maudau.com.ua/product/tualetnyi-blok-dlia-unitazu-bref-duo-cubes-100-h,https://image.maudau.com.ua/webp/size/lg/products/fe/5d/74/fe5d741f64df73d71dc1ddea17381862.jpg,95,137,42,5,58,В наявності,,Туалетний,31
"Капсули для посудомийних машин Fairy Platinum Plus Все-в-1, 88 шт.",https://maudau.com.ua/product/tabletky-dlia-posudomyinykh-mashyn-fairy-platinum-plus-vse-v-1-88-sht,https://image.maudau.com.ua/webp/size/lg/products/17/26/21/172621755ce55b08581f4cb9dba4921d.jpg,1315,1744,429,5,15,В наявності,,Капсули,25
Чистячий засіб для унітазу Domestos Ультра Білий 1 л,https://maudau.com.ua/product/zasib-dlia-unitazu-domestos-ultra-bilyi-1-l,https://image.maudau.com.ua/webp/size/lg/products/ec/20/08/ec200869-1fb0-4a02-bff3-be226e0bcbf8.jpg,107,155,48,5,148,В наявності,,Чистячий,31
"Капсули для посудомийних машин Finish Ultimate All in 1, 100 шт.",https://maudau.com.ua/product/finish-zasib-d-myttia-posudu-100-tab-ultimate-all-in-1,https://image.maudau.com.ua/webp/size/lg/products/c1/97/51/c19751ff2ed2ca8308a86973db3b8358.jpg,869,2410,1541,5,8,В наявності,,Капсули,64
Капсули для посудомийних машин Fairy Original Все-в-1 Лимон 100 шт.,https://maudau.com.ua/product/tabletky-dlia-posudomyinykh-mashyn-fairy-original-vse-v-1-100-sht,https://image.maudau.com.ua/webp/size/lg/products/e2/bd/08/e2bd0887fa8aaff26fe9aa7f1c5eaf7c.jpg,719,1459,740,5,44,В наявності,,Капсули,51
Засіб від плісняви та грибку з розпилювачем Savo 500 мл,https://maudau.com.ua/product/zasib-vid-plisniavy-ta-hrybku-z-rozpyliuvachem-savo-500-ml,https://image.maudau.com.ua/webp/size/lg/products/1e/f2/ff/1ef2fffac2e7b571cb7a63fc0885444a.jpg,105,153,48,5,86,В наявності,,Засіб,31
Засіб для миття посуду Frosch Зелений лимон 5 л,https://maudau.com.ua/product/zasib-dlia-myttia-posudu-frosch-zelenyi-lymon-5-l-2,https://image.maudau.com.ua/webp/size/lg/products/03/80/52/038052ac-58e4-4b2d-b09c-c3b97c57e812.png,544,758,214,5,87,В наявності,,Засіб,28
"Засіб для чищення унітаза Domestos Грін, 750 мл",https://maudau.com.ua/product/zasib-dlia-chyshchennia-unitaza-domestos-hrin-750-ml,https://image.maudau.com.ua/webp/size/lg/products/d7/b5/55/d7b5553a-b9c6-4a4d-a980-c0052884fad2.jpg,100,125,25,5,78,В наявності,,Засіб,20
Таблетки для посудомийної машини Somat Classic Duo 95+95 шт.,https://maudau.com.ua/product/somat-klasik-95-duo-novynka,https://image.maudau.com.ua/webp/size/lg/products/dd/9a/1c/dd9a1cb6-ae6e-4f47-aca5-97598354be26,999,2163,1164,5,10,В наявності,,Таблетки,54
