title,url,image,price,old_price,discount_amount_uah,rating,reviews_count,availability,badges,brand,discount_percent
"Вино Marlborough Sun Sauvignon Blanc, біле, сухе, 0,75 л",https://maudau.com.ua/product/vyno-marlborough-sun-sauvignon-blanc-bile-sukhe-13-075-l-5776,https://image.maudau.com.ua/webp/size/lg/products/0f/8f/a6/0f8fa69e20010eade2f312b8cfd7245f.jpg,465,606,141,5,59,В наявності,,Вино,23
Упаковка вина Salmon Run Marlborough Sauvignon Blanc біле сухе 4.5 л (0.75 л х 6 шт.),https://maudau.com.ua/product/vyno-salmon-run-marlborough-sauvignon-blanc-bile-sukhe-4-5-l-0-75-l-kh-6-sht,https://image.maudau.com.ua/webp/size/lg/products/1a/e1/31/1ae131cc96f52c317f97ddcf133fa8fb.jpg,3294,,,5,4,В наявності,,Упаковка,
Вино Marques de Carano Gran Reserva DO Carinena червоне сухе 0.75 л ,https://maudau.com.ua/product/vyno-marques-de-carano-gran-reserva-do-carinena-125-075-l-652089,https://image.maudau.com.ua/webp/size/lg/products/fb/bb/96/fbbb965a-c392-45ee-9c21-90559558d0cc,369,,,5,6,В наявності,,Вино,
Вино Salmon Run Marlborough Sauvignon Blanc біле сухе 0.75 л,https://maudau.com.ua/product/vyno-salmon-run-sauvignon-blanc-marlborough-bile-sukhe-125-075-l-704774,https://image.maudau.com.ua/webp/size/lg/products/54/d5/d5/54d5d5cb-071f-424a-b028-cb818b72e463,549,,,5,36,В наявності,,Вино,
Вино Tainui Marlborough Sauvignon Blanc біле сухе 0.75 л,https://maudau.com.ua/product/vyno-tainui-sauvignon-blanc-bile-sukhe-12-5-0-75-l,https://image.maudau.com.ua/webp/size/lg/products/a5/49/0e/a5490eafcae66b62d6f788fcf029183c.jpg,354,430,76,5,9,В наявності,,Вино,18
"Вино Mare Magnum Zinfandel Big Boys, червоне, сухе, 14,5%, 0,75 л",https://maudau.com.ua/product/vyno-mare-magnum-zinfandel-big-boys-chervone-sukhe-145-075-l,https://image.maudau.com.ua/webp/size/lg/products/a6/88/3c/a6883cc4-9f9c-44de-94ef-de78dc07f453,449,564,115,5,19,В наявності,,Вино,20
Вино Martini Bellini 8% 0.75 л (621618),https://maudau.com.ua/product/vyno-ihryste-martini-bellini-8-075-l-621618,https://image.maudau.com.ua/webp/size/lg/products/7f/fb/a7/7ffba7b4e8a40bd64f75b6f6dd1ffd30.png,279,428,149,5,68,В наявності,,Вино,35
"Вино Kartuli Vazi Алазанська долина, червоне, напівсолодке, 11%, 0,75 л",https://maudau.com.ua/product/vyno-kartuli-vazi-alazanska-dolyna-chervone-napivsolodke-11-075-l,https://image.maudau.com.ua/webp/size/lg/products/83/73/3e/83733e27-1c56-4950-8a60-66d592083816,219,309,90,5,79,В наявності,,Вино,29
"Вино I Castelli Pinot Grigio, біле, сухе, 12%, 0,75 л (522655)",https://maudau.com.ua/product/vyno-i-castelli-pinot-grigio-bile-sukhe-12-075-l-522655,https://image.maudau.com.ua/webp/size/lg/products/13/6d/a3/136da3fe-455e-4079-977e-9294e77cf615.jpg,249,,,5,6,В наявності,,Вино,
Вино Hidden Bay Sauvignon Blanc біле сухе 0.75 л 13% (878450),https://maudau.com.ua/product/vyno-hidden-bay-sauvignon-blanc-bile-sukhe-075-l-13-878450,https://image.maudau.com.ua/webp/size/lg/products/cf/9b/bf/cf9bbfe786db3578bc0afb08e1c42533.jpg,299,,,5,19,В наявності,,Вино,
Вино Piccini Chianti DOCG червоне сухе 12.5% 0.75 л (9190),https://maudau.com.ua/product/vyno-piccini-chianti-docg-chervone-sukhe-125-075-l-9190,https://image.maudau.com.ua/webp/size/lg/products/28/7a/8c/287a8c26a7d6e5501cfafe409618964d.jpg,279,,,5,15,В наявності,,Вино,
"Вино Piccini Chianti DOCG, червоне, сухе, 12,5%, 1,5 л (502318)",https://maudau.com.ua/product/vyno-piccini-chianti-docg-chervone-sukhe-125-15-l-502318,https://image.maudau.com.ua/webp/size/lg/products/83/b3/73/83b373e6-093a-485f-a860-86222fca78bb,439,,,5,8,В наявності,,Вино,
"Вино Kartuli Vazi Алазанська Долина, біле, напівсолодке, 12,5%, 0,75 л",https://maudau.com.ua/product/vyno-kartuli-vazi-alazanska-dolyna-bile-napivsolodke-125-075-l,https://image.maudau.com.ua/webp/size/lg/products/f6/41/a2/f641a260-9c64-43bd-9f08-0c0d94552099.jpg,179,264,85,5,20,В наявності,,Вино,32
"Вино Verdegar Vinho Verde Branco DO, біле, напівсухе, 9,5%, 0,75 л (32393)",https://maudau.com.ua/product/vyno-verdegar-vinho-verde-branco-do-bile-napivsukhe-95-075-l-32393,https://image.maudau.com.ua/webp/size/lg/products/f2/48/43/f24843f80ae2010db7208f95976e1b36.jpg,174,269,95,5,45,В наявності,,Вино,35
"Вино Leleka Wines Red, червоне, напівсолодке, 12%, 0,75 л (854156)",https://maudau.com.ua/product/vyno-leleka-wines-red-chervone-napivsolodke-12-075-l-854156,https://image.maudau.com.ua/webp/size/lg/products/2f/47/37/2f4737a5-b280-43e4-8c17-5430c75642f6,219,335,116,5,44,В наявності,,Вино,35
"Вино Kartuli Vazi Алазанська долина, червоне, 11%, 1,5 л",https://maudau.com.ua/product/vyno-kartuli-vazi-alazanska-dolyna-chervone-11-15-l,https://image.maudau.com.ua/webp/size/lg/products/1d/ed/82/1ded8240-f8b0-46dd-9bc2-c81e804ba004,359,502,143,5,12,В наявності,,Вино,28
"Вино Whistling Track Sauvignon Blanc, біле, сухе, 0,75 л",https://maudau.com.ua/product/vyno-whistling-track-sauvignon-blanc-12-075-l-775810,https://image.maudau.com.ua/webp/size/lg/products/2a/b2/b7/2ab2b7e8-7843-409d-b556-a6f7e939e0da,345,,,5,58,В наявності,,Вино,
"Вино Hechtsheim Riesling Blue Light Medium Sweet, 8,5%, 0,75 л (688966)",https://maudau.com.ua/product/vyno-hechtsheim-riesling-blue-light-medium-sweet-85-075-l-688966,https://image.maudau.com.ua/webp/size/lg/products/03/a2/d9/03a2d9e1-380a-40c2-a837-43989314474d,189,,,5,57,В наявності,,Вино,
Вино Piccini Primitivo di Puglia червоне сухе 1.5 л,https://maudau.com.ua/product/vyno-piccini-primitivo-di-puglia-chervone-sukhe-075-l,https://image.maudau.com.ua/webp/size/lg/products/cd/91/19/cd9119d440e70c0fc696630cd47d6754.jpg,469,,,5,10,В наявності,,Вино,
"Вино Paul Barn Riesling Landwein Rhein, біле, напівсолодке, 0,75 л (674274)",https://maudau.com.ua/product/vyno-paul-barn-riesling-landwein-rhein-medswt-85-075-l-674274,https://image.maudau.com.ua/webp/size/lg/products/b9/bd/88/b9bd88c5-e4b8-43b1-a851-2b9f108af856,249,,,5,17,В наявності,,Вино,
