title,brand,price,old_price,discount_percent,rating,reviews_count,availability,url,image,badges
Очищувальний гель Mixa Проти недоліків шкіри обличчя 150 мл (3600551158372),Очищувальний,284,320,11,,1,Готово до відправки,https://rozetka.com.ua/ua/mixa-3600551158372/p442381247/,https://content.rozetka.com.ua/goods/images/big_tile/528714484.jpg,−11%
Набір косметики Hollyskin Snail Smart Care Maxi Set 5 шт. (4820200410395),Набір,1295,1352,4,,,Невідомо,https://rozetka.com.ua/ua/hollyskin_4820200410395/p274787143/,https://content2.rozetka.com.ua/goods/images/big_tile/418711371.jpg,
Набір по догляду за обличчям Vichy Neovadiol Денний крем 50 мл + Нічний крем 50 мл (5905076672319),Набір,2099,2299,9,,,Невідомо,https://rozetka.com.ua/ua/vichy-5905076672319/p558519741/,https://content2.rozetka.com.ua/goods/images/big_tile/620682421.jpg,ТОП ПРОДАЖІВ
Тканинна маска для обличчя Garnier Skin Naturals Зволоження та Свіжість 32 г (3600542385329),Тканинна,75,99,24,5.0,18,Невідомо,https://rozetka.com.ua/ua/garnier_3600541944640/p13031697/,https://content2.rozetka.com.ua/goods/images/big_tile/329145637.jpg,АКЦІЯ
Омолоджувальні гідрогелеві патчі для очей із золотом і гіалуроновою кислотою Elizavecca gold hyaluronic acid eye patch 60 шт. (8809389032891),Омолоджувальні,355,432,18,4.4,274,Невідомо,https://rozetka.com.ua/ua/elizavecca_8809389032891/p48143678/,https://content.rozetka.com.ua/goods/images/big_tile/12302549.jpg,−18%
Засіб для зняття макіяжу з очей та губ L'Oreal Paris 125 мл (3600524234447),Засіб,188,265,29,5.0,51,Невідомо,https://rozetka.com.ua/ua/loreal_3600521930687/p2224227/,https://content.rozetka.com.ua/goods/images/big_tile/316660622.jpg,АКЦІЯ
Заспокійлива міцелярна вода NIVEA для чутливої шкіри 100 мл (42344759/42439097),Заспокійлива,77,124,38,4.7,13,Готово до відправки,https://rozetka.com.ua/ua/nivea_42344759/p72156963/,https://content2.rozetka.com.ua/goods/images/big_tile/396160816.jpg,−38%
Сироватка Mixa з Саліциловою кислотою та Ніацинамідом 30 мл (3600551136967),Сироватка,461,520,11,5.0,2,Готово до відправки,https://rozetka.com.ua/ua/mixa-3600551136967/p442381730/,https://content1.rozetka.com.ua/goods/images/big_tile/528707459.jpg,−11%
Патчі під очі Hollyskin Black Caviar Eye Patch 100 шт. (4823109700130),Патчі,292,,,4.2,11,Невідомо,https://rozetka.com.ua/ua/hollyskin_4823109700130/p226330525/,https://content2.rozetka.com.ua/goods/images/big_tile/26303370.jpg,
Колекція бестселерів Elemis Kit Shrimps Travel Icons Collectiony косметичці (641628877805),Колекція,3950,,,,,Невідомо,https://rozetka.com.ua/ua/elemis-641628877805/p446994551/,https://content.rozetka.com.ua/goods/images/big_tile/464988472.jpg,
Ніжний пом'якшувальний тонік для обличчя NIVEA 200 мл (9005800227054/4006000008318),Ніжний,147,210,30,4.9,24,Невідомо,https://rozetka.com.ua/ua/nivea_4005808192267/p9216197/,https://content.rozetka.com.ua/goods/images/big_tile/312840790.jpg,ТОП ПРОДАЖІВ
Набір Vichy Purete Thermale Міцелярна вода + Косметичка з наповненням в подарунок (5905076673644),Набір,545,825,34,4.9,42,Невідомо,https://rozetka.com.ua/ua/vichy-5905076673644/p537302239/,https://content2.rozetka.com.ua/goods/images/big_tile/612725889.jpg,ТОП ПРОДАЖІВ
Інтенсивно очищувальний гель Змінний блок CeraVe для нормальної і жирної шкіри обличчя та тіла 473 мл (3337875905596),Інтенсивно,499,565,12,4.9,49,Невідомо,https://rozetka.com.ua/ua/cerave-3337875905596/p497303869/,https://content2.rozetka.com.ua/goods/images/big_tile/533282471.jpg,ТОП ПРОДАЖІВ
Охолоджувальна ліфтинг маска Hollyskin Skin Perfecting Mask Artichoke для Боротьби з набряками 250 мл (4823109701359),Охолоджувальна,492,,,4.5,39,Невідомо,https://rozetka.com.ua/ua/hollyskin-4823109701359/p407688282/,https://content.rozetka.com.ua/goods/images/big_tile/387149041.jpg,ТОП ПРОДАЖІВ
Крем для обличчя ФітоБіоТехнології EweOil Спермацетовий 44 мл (4820183471994),Крем,75,93,19,4.8,111,Невідомо,https://rozetka.com.ua/ua/fitobiotehnologii-4820183471994/p366348729/,https://content2.rozetka.com.ua/goods/images/big_tile/398686216.jpg,ТОП ПРОДАЖІВ
Антивіковий живильний нічний крем для шкіри обличчя L'Oreal Paris Вік Експерт 65+ проти зморшок 50 мл (3600524032623),Антивіковий,255,320,20,4.8,92,Невідомо,https://rozetka.com.ua/ua/loreal_3600523408917/p19139169/,https://content1.rozetka.com.ua/goods/images/big_tile/437914045.jpg,ТОП ПРОДАЖІВ
Очищувальна зволожувальна емульсія Змінний блок CeraVe  для нормальної та сухої шкіри обличчя та тіла 473 мл (3337875905602),Очищувальна,499,565,12,4.7,12,Готово до відправки,https://rozetka.com.ua/ua/cerave-3337875905602/p497311734/,https://content1.rozetka.com.ua/goods/images/big_tile/533286285.jpg,ТОП ПРОДАЖІВ
Інтенсивно очищувальний гель CeraVe для нормальної та жирної шкіри обличчя і тіла 88 мл (3337875597340),Інтенсивно,225,245,8,4.8,199,Невідомо,https://rozetka.com.ua/ua/cerave-3337875597340/p497631604/,https://content2.rozetka.com.ua/goods/images/big_tile/533794652.jpg,ТОП ПРОДАЖІВ
Глибоко очищувальний гель CeraVe для схильної до недосконалостей шкіри обличчя та тіла 236 мл (3337875784054),Глибоко,499,542,8,4.8,98,Невідомо,https://rozetka.com.ua/ua/cerave-3337875784054/p351675477/,https://content.rozetka.com.ua/goods/images/big_tile/482353917.jpg,ТОП ПРОДАЖІВ
