title,brand,price,old_price,discount_percent,rating,reviews_count,availability,url,image,badges
Віскі Tullamore Dew Original 1 л 40% (5011026108019N),Віскі,850,1437,41,4.4,24,Готово до відправки,https://rozetka.com.ua/ua/tullamore-dew-5011026108019n/p432616466/,https://content1.rozetka.com.ua/goods/images/big_tile/435553023.jpg,ТОП ПРОДАЖІВ
Лікер Jägermeister retro bottle 0.7 л 35% (4067700015532R),Лікер,519,615,16,5.0,7,Невідомо,https://rozetka.com.ua/ua/jgermeister-83664873685j/p539086274/,https://content.rozetka.com.ua/goods/images/big_tile/589420041.jpg,−16%
Джин Elephant 0.5 л 45% (5060351330107),Джин,1229,2300,47,,,Готово до відправки,https://rozetka.com.ua/ua/elephant_5060351330107/p283887833/,https://content1.rozetka.com.ua/goods/images/big_tile/560326923.jpg,ТІЛЬКИ В ROZETKA
Мескаль Se Busca Joven 0.7 л 40% (7500326435195),Мескаль,1949,2339,17,5.0,4,Готово до відправки,https://rozetka.com.ua/ua/se_busca_7500326435195/p102404256/,https://content.rozetka.com.ua/goods/images/big_tile/15751167.jpg,−17%
Ром Ron Colon Salvadoreno 111 Proof Coffee Infused 6 років витримки 0.7 л 55.5% (8710631120238),Ром,1650,2084,21,,,Невідомо,https://rozetka.com.ua/ua/ron-colon-salvadoreno-8710631120238/p551902842/,https://content.rozetka.com.ua/goods/images/big_tile/607970125.jpg,ТІЛЬКИ В ROZETKA
Віскі Monkey Shoulder 0.7 л 40% (5010327105215N),Віскі,1299,1943,33,4.1,51,Невідомо,https://rozetka.com.ua/ua/monkey-shoulder-5010327105215n/p431095256/,https://content1.rozetka.com.ua/goods/images/big_tile/431817138.jpg,−33%
Настоянка гірка Campari 0.7 л 25% (8000040001106),Настоянка,629,829,24,,,Готово до відправки,https://rozetka.com.ua/ua/campari-8000040001106/p435499661/,https://content.rozetka.com.ua/goods/images/big_tile/442930885.jpg,−24%
Текіла Rooster Rojo Reposado Ahumado 0.7 л 40% (7503023613897),Текіла,1489,1979,25,4.7,3,Невідомо,https://rozetka.com.ua/ua/rooster-rojo-7503023613897/p435500609/,https://content2.rozetka.com.ua/goods/images/big_tile/441075642.jpg,−25%
Ром Ron Colon Salvadoreno 81 Proof Coffee Infused 6-10 років витримки 0.7 л 40.5% (8710631320676),Ром,1650,2084,21,,,Готово до відправки,https://rozetka.com.ua/ua/ron-colon-salvadoreno-8710631320676/p551902845/,https://content1.rozetka.com.ua/goods/images/big_tile/607976236.jpg,ТІЛЬКИ В ROZETKA
Подарунковий набір Brut Buro Для неї з джином 0.5 л 37.5% (2021000287350),Подарунковий,1379,2299,40,,,Невідомо,https://rozetka.com.ua/ua/brut-buro-2021000287350/p485561769/,https://content1.rozetka.com.ua/goods/images/big_tile/519498159.jpg,−40%
