title,brand,price,old_price,discount_percent,rating,reviews_count,availability,url,image,badges
Таблетки для миття посуду в посудомийних машинах Frosch Лимон 50 шт х 20 г (4001499947315),Таблетки,769,1099,30,4.7,67,Готово до відправки,https://rozetka.com.ua/ua/frosch_4001499947315/p162263956/,https://content.rozetka.com.ua/goods/images/big_tile/19938180.jpg,−30%
Ополіскувач для посуду Reinex Super Glanz 1 л (4068400001108),Ополіскувач,110,175,37,4.8,66,Невідомо,https://rozetka.com.ua/ua/reinex_4068400001108/p92006012/,https://content1.rozetka.com.ua/goods/images/big_tile/80263257.jpg,−37%
Порошок для посудомийних машин Delamark з активним киснем 1 кг (4820152333599),Порошок,391,,,5.0,16,Невідомо,https://rozetka.com.ua/ua/delamark-4820152333599/p428193620/,https://content2.rozetka.com.ua/goods/images/big_tile/426585032.jpg,
Кондиціонер-ополіскувач для посудомийної машини Delamark 500 мл (4820152330352),Кондиціонер-ополіскувач,144,,,4.7,58,Готово до відправки,https://rozetka.com.ua/ua/de_la_mark_4820152330352/p5574249/,https://content.rozetka.com.ua/goods/images/big_tile/316969044.jpg,
Ополіскувач для посуду в посудомийній машині Finish 400 мл (5201347176525),Ополіскувач,105,,,4.7,40,Є в наявності,https://rozetka.com.ua/ua/424175853/p424175853/,https://content1.rozetka.com.ua/goods/images/big_tile/419542405.jpg,
Таблетки для посудомийної машини Somat All-in-1 Extra 115 шт (9000101831818),Таблетки,736,1369,46,,,Невідомо,https://rozetka.com.ua/ua/somat-9000101831818/p529555934/,https://content1.rozetka.com.ua/goods/images/big_tile/591976278.jpg,АКЦІЯ
"Таблетки для посудомийної машини Denkmit Classic, 65 шт (270605)",Таблетки,305,333,8,4.3,11,Невідомо,https://rozetka.com.ua/ua/416044566/p416044566/?advToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NjUwMTU2MzEsInBheWxvYWQiOiJ7XCJwZ1wiOjQzNDE3MjA1LFwiY1wiOjEwMTk1NyxcImN0XCI6MSxcImNwY1wiOjAuODk5OTk5OTc2MTU4MTQyMSxcInNjXCI6NyxcInBsXCI6MyxcImNpZFwiOjQ2MzIwMzMsXCJwXCI6NyxcImdcIjoxfSJ9.jVkwPpkpGj2uADSi7FOHRDmTciWfEty3aOdGLIzAo9c&advSource=catalog,https://content1.rozetka.com.ua/goods/images/big_tile/585198283.jpg?advToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NjUwMTU2MzEsInBheWxvYWQiOiJ7XCJwZ1wiOjQzNDE3MjA1LFwiY1wiOjEwMTk1NyxcImN0XCI6MSxcImNwY1wiOjAuODk5OTk5OTc2MTU4MTQyMSxcInNjXCI6NyxcInBsXCI6MyxcImNpZFwiOjQ2MzIwMzMsXCJwXCI6NyxcImdcIjoxfSJ9.jVkwPpkpGj2uADSi7FOHRDmTciWfEty3aOdGLIzAo9c&advSource=catalog,−8%
Капсули для посудомийних машин Fairy Original Все-в-1 56 шт (8700216237352),Капсули,409,681,40,4.6,103,Готово до відправки,https://rozetka.com.ua/ua/fairy-8700216237352/p438293915/,https://content1.rozetka.com.ua/goods/images/big_tile/446333253.jpg,−40%
Сіль Delamark для посудомийної машини 1 кг (4820152330369),Сіль,97,131,26,4.8,89,Готово до відправки,https://rozetka.com.ua/ua/de_la_mark_4820152330369/p5574405/,https://content2.rozetka.com.ua/goods/images/big_tile/600694489.jpg,
Засіб для миття посуду Fairy Лимон 1350 мл (8006530111232),Засіб,179,259,31,5.0,2,Невідомо,https://rozetka.com.ua/ua/fairy-8006530111232/p536195144/,https://content1.rozetka.com.ua/goods/images/big_tile/586192415.jpg,−31%
