title,brand,price,old_price,discount_percent,rating,reviews_count,availability,url,image,badges
Гель для прання Perwoll для темних та чорних речей 4000 мл + Мішечки для прання у подарунок (9000101810264_1),Гель,649,1082,40,5.0,2,Готово до відправки,https://rozetka.com.ua/ua/perwoll-9000101810264-1/p549291837/,https://content.rozetka.com.ua/goods/images/big_tile/603566545.jpg,−40%
Плямовивідник Dr. Beckmann Спрей від дезодоранту і поту 250 мл (4008455541112),Плямовивідник,169,285,41,4.7,61,Невідомо,https://rozetka.com.ua/ua/dr-beckmann-4008455541112/p408116202/,https://content.rozetka.com.ua/goods/images/big_tile/387877612.jpg,ТОП ПРОДАЖІВ
Гель Perwoll для темних та чорних речей 1000 мл (9000101810141),Гель,296,360,18,,,Невідомо,https://rozetka.com.ua/ua/perwoll-9000101810141/p416747103/,https://content.rozetka.com.ua/goods/images/big_tile/406594115.jpg,АКЦІЯ
Диски для прання Persil 4in1 Discs Universal Deep Clean 68 шт (9000101826715),Диски,699,1738,60,4.5,45,Невідомо,https://rozetka.com.ua/ua/persil-9000101826715/p484102449/,https://content2.rozetka.com.ua/goods/images/big_tile/517810012.jpg,АКЦІЯ
Плямовивідник і відбілювач рідкий для тканин Vanish Oxi Action Кришталева білизна 1 л (4820232971109),Плямовивідник,139,289,52,4.3,234,Невідомо,https://rozetka.com.ua/ua/vanish_5900627027136/p7077039/,https://content.rozetka.com.ua/goods/images/big_tile/513428865.jpg,ТОП ПРОДАЖІВ
Парфумовані гранули для прання Lenor Анстоппаблс Фреш 195 г (8700216708661),Парфумовані,179,380,53,,,Невідомо,https://rozetka.com.ua/ua/lenor-8700216708661/p532291289/,https://content2.rozetka.com.ua/goods/images/big_tile/581645150.jpg,−53%
Серветки для оновлення чорного кольору та тканини 6шт 3в1 Dr.Beckmann,Серветки,290,980,70,,,Є в наявності,https://rozetka.com.ua/ua/445757468/p445757468/?advToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NjUwMTE3MjUsInBheWxvYWQiOiJ7XCJwZ1wiOjQyOTE2NTQwLFwiY1wiOjk5NjE0LFwiY3RcIjoxLFwiY3BjXCI6MC44OTk5OTk5NzYxNTgxNDIxLFwic2NcIjo3LFwicGxcIjozLFwiY2lkXCI6NDYzMjEwMyxcInBcIjo3LFwiZ1wiOjF9In0.ig5Qp16XukStDgPhL1nWvOBW6UUf52awmrvAtq7S7jk&advSource=catalog,https://content1.rozetka.com.ua/goods/images/big_tile/462276744.jpg?advToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NjUwMTE3MjUsInBheWxvYWQiOiJ7XCJwZ1wiOjQyOTE2NTQwLFwiY1wiOjk5NjE0LFwiY3RcIjoxLFwiY3BjXCI6MC44OTk5OTk5NzYxNTgxNDIxLFwic2NcIjo3LFwicGxcIjozLFwiY2lkXCI6NDYzMjEwMyxcInBcIjo3LFwiZ1wiOjF9In0.ig5Qp16XukStDgPhL1nWvOBW6UUf52awmrvAtq7S7jk&advSource=catalog,−70%
Гель для прання Perwoll Догляд та Освіжаючий ефект 3 л (9000101809930),Гель,586,887,34,4.5,79,Невідомо,https://rozetka.com.ua/ua/perwoll-9000101809930/p416766231/,https://content.rozetka.com.ua/goods/images/big_tile/406611103.jpg,АКЦІЯ
Кондиціонер для прання Tesori d'Oriente Талассо терапія 760 мл (8008970055251),Кондиціонер,129,204,37,5.0,4,Готово до відправки,https://rozetka.com.ua/ua/tesori_d_oriente_8008970055251/p364355559/,https://content1.rozetka.com.ua/goods/images/big_tile/420749589.jpg,−37%
Пральний порошок Persil Expert Deep Clean Автомат Color Свіжість від Silan 18 циклів прання 2.7 кг (9000101806335),Пральний,385,475,19,4.8,513,Невідомо,https://rozetka.com.ua/ua/persil-9000101806335/p417116322/,https://content.rozetka.com.ua/goods/images/big_tile/407199808.jpg,ТОП ПРОДАЖІВ
