title,brand,price,old_price,discount_percent,rating,reviews_count,availability,url,image,badges
Вино ігристе Astoria Prosecco Treviso Butterfly Extra Dry біле екстра-сухе 0.75 л 11% (8003905041781),Вино,379,420,10,4.4,57,Готово до відправки,https://rozetka.com.ua/ua/astoria_8003905041781/p17170247/,https://content.rozetka.com.ua/goods/images/big_tile/197927328.jpg,ТІЛЬКИ В ROZETKA
Вино ігристе GIV Cavicchioli Lambrusco Emilia Bianco Dolce Біле напівсолодке 0.75 л 7.5% (8001900628051),Вино,245,331,26,4.8,46,Готово до відправки,https://rozetka.com.ua/ua/cavicchioli_8001900628051/p129486047/,https://content1.rozetka.com.ua/goods/images/big_tile/17593982.jpg,ТОП ПРОДАЖІВ
Вино ігристе Sizarini Lambrusco біле напівсолодке 0.75 л 8% (8004810675481),Вино,164,243,33,4.5,87,Невідомо,https://rozetka.com.ua/ua/sizarini_8004810675481/p5874435/,https://content.rozetka.com.ua/goods/images/big_tile/605872274.jpg,ТОП ПРОДАЖІВ
Вино ігристе Serena 1881 «Prosecco Frizzante» DOC Treviso сухе біле 0.75 л 10.5% (8010719001757),Вино,322,490,34,4.7,88,Невідомо,https://rozetka.com.ua/ua/terra_serena_8010719001757/p5491563/,https://content1.rozetka.com.ua/goods/images/big_tile/268309662.jpg,−34%
Вино ігристе Trevisana Prosecco Frizzante DOC біле екстра-сухе 0.75 л 11% (8003030877057),Вино,339,350,3,4.4,99,Готово до відправки,https://rozetka.com.ua/ua/trevisana_8003030877057/p307231333/,https://content2.rozetka.com.ua/goods/images/big_tile/190552520.jpg,ТІЛЬКИ В ROZETKA
Шампанське Moet & Chandon Brut Imperial біле брют 0.75 л 12.5% (3185370729960M),Шампанське,2499,2899,14,4.8,27,Готово до відправки,https://rozetka.com.ua/ua/moet-chandon-3185370729960m/p456711164/,https://content1.rozetka.com.ua/goods/images/big_tile/483864664.jpg,−14%
Вино Brancott Estate Marlborough Sauvignon Blanc сухе біле 0.75 л 12.5% (9414024514275),Вино,369,540,32,4.9,29,Невідомо,https://rozetka.com.ua/ua/brancott_estate_9414024334965/p39003240/,https://content2.rozetka.com.ua/goods/images/big_tile/345366124.jpg,−32%
Вино ігристе Astoria Butterfly Ribolla Gialla Brut біле брют 0.75 л 11% (8003905045789),Вино,309,370,16,4.8,93,Готово до відправки,https://rozetka.com.ua/ua/astoria-8003905045789/p353794578/,https://content1.rozetka.com.ua/goods/images/big_tile/434577055.jpg,ТІЛЬКИ В ROZETKA
Вино ігристе Henkell AlkoholFrei Безалкогольне біле напівсолодке 0.75 л 0% (4003310013988),Вино,219,289,24,4.5,177,Невідомо,https://rozetka.com.ua/ua/henkell_4003310013988/p219714427/,https://content.rozetka.com.ua/goods/images/big_tile/25412895.jpg,−24%
Вино ігристе Valdobbiadene Prosecco Superire DOCG біле брют 0.75 л 11% (8003930001507_8003930001606J),Вино,795,957,17,,,Невідомо,https://rozetka.com.ua/ua/santa-margherita-8003930001507-8003930001606j/p458550804/,https://content.rozetka.com.ua/goods/images/big_tile/486155758.jpg,−17%
Вино Aznauri Алазанська долина червоне напівсолодке 3 л 9-13 % (4820189291992),Вино,199,276,28,4.4,79,Закінчується,https://rozetka.com.ua/ua/aznauri_4820189291992/p266243791/,https://content.rozetka.com.ua/goods/images/big_tile/625901096.png,ТОП ПРОДАЖІВ
Вино Verdegar Vinho Verde Branco біле напівсухе 0.75 л 9.5% (5601448048088),Вино,174,349,50,4.7,20,Готово до відправки,https://rozetka.com.ua/ua/verdegar_5601448048088/p379565112/,https://content1.rozetka.com.ua/goods/images/big_tile/454116732.jpg,ТОП ПРОДАЖІВ
Вино Kartuli Vazi Алазанська долина біле напівсолодке 0.75 л (4860001680658_4860127040114),Вино,189,265,29,4.4,75,Готово до відправки,https://rozetka.com.ua/ua/kartuli_vazi_4860001680658/p5708091/,https://content2.rozetka.com.ua/goods/images/big_tile/423493096.jpg,−29%
Вино Aznauri Сапераві червоне сухе 3 л 9.5-14% (4820189292005),Вино,199,293,32,4.3,62,Готово до відправки,https://rozetka.com.ua/ua/aznauri_4820189292005/p266243796/,https://content2.rozetka.com.ua/goods/images/big_tile/625901098.png,ТОП ПРОДАЖІВ
Вино ігристе Collinobili Prosecco Frizzante DOC біле брют 0.75 л 10.5% (8005400794544),Вино,309,399,23,4.1,21,Готово до відправки,https://rozetka.com.ua/ua/collinobili-8005400794544/p428589767/,https://content2.rozetka.com.ua/goods/images/big_tile/427390410.jpg,ТІЛЬКИ В ROZETKA
Вино ігристе Артемівське Малевич біле напівсолодке 0.75 л 10-13.5% (4820176064004),Вино,209,274,24,,,Невідомо,https://rozetka.com.ua/ua/artemovskoe-4820176064004/p555406437/,https://content1.rozetka.com.ua/goods/images/big_tile/615062736.png,НОВИНКА
Набір Вино ігристе Mondoro Asti біле солодке 0.75 л 7.5% + Вино ігристе Mondoro Asti біле солодке 0.75 л 7.5% (8004160521308+8004160521308),Набір,898,958,6,,,Є в наявності,https://rozetka.com.ua/ua/mondoro-8004160521308plus8004160521308/p529561434/,https://content2.rozetka.com.ua/goods/images/big_tile/578095995.jpg,−6%
Портвейн Caves Santa Marta Ruby рубіновий 0.75 л 19% (5601878430453),Портвейн,359,600,40,4.7,44,Закінчується,https://rozetka.com.ua/ua/caves_santa_marta_5601878430453/p271157076/,https://content1.rozetka.com.ua/goods/images/big_tile/44453251.jpg,ТІЛЬКИ В ROZETKA
Вино ігристе FOSCARO Prima Cuvée Extra Dry біле екстра сухе 0.75 л 11% (8009483007126),Вино,199,400,50,,2,Готово до відправки,https://rozetka.com.ua/ua/foscaro-8009483007126/p544601950/,https://content1.rozetka.com.ua/goods/images/big_tile/595351798.jpg,−50%
Вино ігристе Артемівське біле брют 0.75 л 10-13.5% (4820003353363_4820236722462),Вино,229,279,18,4.6,79,Невідомо,https://rozetka.com.ua/ua/artemovskoe_4820003353363/p5850087/,https://content2.rozetka.com.ua/goods/images/big_tile/308391533.jpg,
Вино ігристе Martini Brut біле брют 0.75 л 11.5% (8000570467403),Вино,369,630,41,4.9,27,Невідомо,https://rozetka.com.ua/ua/martini_8000570467403/p5841741/,https://content.rozetka.com.ua/goods/images/big_tile/382795443.jpg,ТОП ПРОДАЖІВ
Вино ігристе Corte Rosa Lambrusco Rosato рожеве напівсолодке IGT 0.75 л 7.5% (8003325608175),Вино,209,220,5,4.4,40,Готово до відправки,https://rozetka.com.ua/ua/lambrusco-8003325608175/p325540081/,https://content2.rozetka.com.ua/goods/images/big_tile/235123543.jpg,ТІЛЬКИ В ROZETKA
Вино ігристе Артемівське біле напівсухе 0.75 л 10-13.5% (4820236722486),Вино,229,279,18,4.3,42,Невідомо,https://rozetka.com.ua/ua/artemovskoe_4820003353424/p5850525/,https://content1.rozetka.com.ua/goods/images/big_tile/308391894.jpg,
Вино Colli Amerini Rosso de Italia червоне сухе 5 л 12% (8009489050065_8011510031660),Вино,659,1045,37,4.5,71,Готово до відправки,https://rozetka.com.ua/ua/colli_amerini_8009489050065/p389206713/,https://content.rozetka.com.ua/goods/images/big_tile/354132420.jpg,−37%
Винний напій Latinium Sparkling Breeze білий напівсухий 0.75 л (4003301081552),Винний,194,298,35,4.6,39,Готово до відправки,https://rozetka.com.ua/ua/latinium_4003301081552/p41332512/,https://content2.rozetka.com.ua/goods/images/big_tile/596600290.jpg,−35%
Вино Aznauri Алазанська долина біле напівсолодке 3 л 9-13 % (4820189291985),Вино,229,276,17,4.5,43,Невідомо,https://rozetka.com.ua/ua/aznauri_4820189291985/p266243786/,https://content.rozetka.com.ua/goods/images/big_tile/625900176.png,
